# IrisCard/SetPositionList

RIGHT:&edit(,noicon){SetPositionListを編集};

**セット位置索引 [#setposition]
//本ページでは、武器、服、胸のイリスカードを記述

***武器 [#weapon]
|~No.|~名称|~レア度|~属性|~ベクトル|~備考|
|AC12-3010|[[バオバブの森のリーナ>IrisCard/ExIrisCard0#AC12-3010]]|''C''|-|[[クリプティックフォース>Iris/Explanation#tb_crypticforce]]||
|AC12-3020|[[オキュペテー>IrisCard/ExIrisCard0#AC12-3020]]|''C''|-|[[マジックバースト>Iris/Explanation#tb_magic]]||
|AC12-3030|[[ガーデナーギルドの庭>IrisCard/ExIrisCard0#AC12-3030]]|''C''|-|[[運搬の心得>Iris/Explanation#tb_Unpan]]||
|AC12-3040|[[シャインビー>IrisCard/ExIrisCard0#AC12-3040]]|''C''|-|[[魔法の心得>Iris/Explanation#tb_Mahou]]||
|AC12-3080|[[アークと金狼と白狼>IrisCard/ExIrisCard0#AC12-3080]]|''C''|-|[[トップブリーダーの心得>Iris/Explanation#tb_topBreeder]]||
|~|~|~|~|[[スティグマータ>Iris/Explanation#tb_stigmata]]|~|
|AC13-0020|[[エル・シエルとエミル>IrisCard/NormalIrisCard#AC13-0020]]|&COLOR(#FF0099){''SR''};|-|[[基礎体力強化>Iris/Explanation#tb_hpup]]||
|~|~|~|~|[[斬鉄の心得>Iris/Explanation#tb_zantetu]]|~|
|~|~|~|~|[[慈愛の加護>Iris/Explanation#tb_jiai]]|~|
|AC13-1030|[[タイニーアイランドとノービス>IrisCard/NormalIrisCard#AC13-1030]]|&COLOR(#ffa500){''R''};|-|[[基礎体力強化>Iris/Explanation#tb_hpup]]||
|~|~|~|~|[[パッケージの心得>Iris/Explanation#tb_packag]]|~|
|AC13-2020|[[サウスDとブレイドマスター>IrisCard/NormalIrisCard#AC13-2020]]|&COLOR(#0000ff){''UC''};|-|[[基礎体力強化>Iris/Explanation#tb_hpup]]||
|~|~|~|~|[[基礎技術力強化>Iris/Explanation#tb_spup]]|~|
|AC13-3040|[[サウス火山島とブラックスミス>IrisCard/NormalIrisCard#AC13-3040]]|''C''|BGCOLOR(#FFCCCC):火|[[アーマープラス>Iris/Explanation#tb_armorPlus]]||
|AC13-3050|[[モーグのエクスプローラー>IrisCard/NormalIrisCard#AC13-3050]]|''C''|BGCOLOR(#FFFF99):風|[[パッケージの心得>Iris/Explanation#tb_packag]]||
|AC13-3070|[[廃炭鉱のアサシン>IrisCard/NormalIrisCard#AC13-3070]]|''C''|BGCOLOR(#CC99FF):闇|[[斬鉄の心得>Iris/Explanation#tb_zantetu]]||
|AC13-3080|[[氷結の坑道とナイト>IrisCard/NormalIrisCard#AC13-3080]]|''C''|BGCOLOR(#CCFFFF):光|[[ウェポンプラス>Iris/Explanation#tb_weaponPlus]]||
|AC14-1010|[[エミルドラゴン（竜）>IrisCard/ExIrisCard0#AC14-1010]]|&COLOR(#ffa500){''R''};|-|[[スティグマータ>Iris/Explanation#tb_stigmata]]|胸も可|
|AC14-1020|[[ドミニオンドラゴン（竜）>IrisCard/ExIrisCard0#AC14-1020]]|&COLOR(#ffa500){''R''};|BGCOLOR(#CC99FF):闇|[[マーズの賛助>Iris/Explanation#tb_Mars]]|服も可|
|AC14-3030|[[マリュス>IrisCard/ExIrisCard0#AC14-3030]]|''C''|-|[[初心の心得>Iris/Explanation#tb_Syosin]]||
|AC14-3040|[[ｅｃｏｉｎカウンター>IrisCard/ExIrisCard0#AC14-3040]]|''C''|-|[[マーキュリーの喝采>Iris/Explanation#tb_Mercury]]||
|AC14-3050|[[ブラフスキー一家>IrisCard/ExIrisCard0#AC14-3050]]|''C''|-|[[白銀の護手>Iris/Explanation#tb_hakugin]]||
|AC14-3060|[[バクバク>IrisCard/ExIrisCard0#AC14-3060]]|''C''|-|[[漆黒の徨手>Iris/Explanation#tb_sikkoku]]||
|AC15-0010|[[Ｘ－１とＤＥＭ－Ｓ・Ｆｉｒｅ>IrisCard/ExIrisCard0#AC15-0010]]|&COLOR(#FF0099){''SR''};|-|[[デスパレートアヴォイド>Iris/Explanation#tb_DesperateAvoid]]|胸も可|
|AC15-1010|[[黒（擬人化）>IrisCard/ExIrisCard0#AC15-1010]]|&COLOR(#ffa500){''R''};|-|[[アドニスの技量>Iris/Explanation#tb_Adonis]]|胸も可|
|AC15-1020|[[白（擬人化）>IrisCard/ExIrisCard0#AC15-1020]]|&COLOR(#ffa500){''R''};|-|[[ヴィーナスの歌声>Iris/Explanation#tb_Venus]]|服も可|
|AC15-3010|[[藍（擬人化）>IrisCard/ExIrisCard0#AC15-3010]]|''C''|-|[[クリプティックフォース>Iris/Explanation#tb_crypticforce]]||
|AC15-3020|[[山吹（擬人化）>IrisCard/ExIrisCard0#AC15-3020]]|''C''|-|[[マーキュリーの喝采>Iris/Explanation#tb_Mercury]]||
|AC15-3040|[[菫（擬人化）>IrisCard/ExIrisCard0#AC15-3040]]|''C''|-|[[知力強化>Iris/Explanation#tb_tiryoku]]||
|AC15-3050|[[空（擬人化）>IrisCard/ExIrisCard0#AC15-3050]]|''C''|-|[[ラクーンフォート>Iris/Explanation#tb_RaccoonFort]]||
|AC15-3060|[[杏（擬人化）>IrisCard/ExIrisCard0#AC15-3060]]|''C''|-|[[ボ、ボク男の子だよぅ>Iris/Explanation#tb_otokomusume]]||
|AC16-0010|[[ベリアルとリーダー>IrisCard/ExIrisCard0#AC16-0010]]|&COLOR(#FF0099){''SR''};|-|[[フロントライン>Iris/Explanation#tb_Front]]|胸も可|
|AC16-1030|[[ＤＥＭ－エレファント>IrisCard/ExIrisCard0#AC16-1030]]|&COLOR(#ffa500){''R''};|-|[[インテグレーション>Iris/Explanation#tb_integration]]|服も可|
|AC16-2020|[[マーメイドの船>IrisCard/ExIrisCard0#AC16-2020]]|&COLOR(#0000ff){''UC''};|-|[[ラクーンフォート>Iris/Explanation#tb_RaccoonFort]]||
|AC16-2030|[[タルパ>IrisCard/ExIrisCard0#AC16-2030]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99FFCC):土|[[技術力強化>Iris/Explanation#tb_gijutu]]||
|AC16-3020|[[ミウ>IrisCard/ExIrisCard0#AC16-3020]]|''C''|-|[[マーズの賛助>Iris/Explanation#tb_Mars]]||
|AC16-3040|[[お使いモーラン>IrisCard/ExIrisCard0#AC16-3040]]|''C''|-|[[運搬の心得>Iris/Explanation#tb_Unpan]]||
|AC16-3060|[[エル・シエル兵士>IrisCard/ExIrisCard0#AC16-3060]]|''C''|-|[[体力強化>Iris/Explanation#tb_tairyoku]]||
|AC16-3080|[[さすらいの吟遊詩人>IrisCard/ExIrisCard0#AC16-3080]]|''C''|-|[[ロングレンジバースト>Iris/Explanation#tb_Lrange]]||
|AC17-0020|[[急襲アンデッドの城>IrisCard/ExIrisCard0#AC17-0020]]|&COLOR(#FF0099){''SR''};|-|[[フロントライン>Iris/Explanation#tb_Front]]|服も可|
|AC17-1010|[[庭園探索>IrisCard/ExIrisCard0#AC17-1010]]|&COLOR(#ffa500){''R''};|BGCOLOR(#CC99FF):闇|[[オフェンシブサポート>Iris/Explanation#tb_Offensive]]||
|AC17-1020|[[遺跡視察>IrisCard/ExIrisCard0#AC17-1020]]|&COLOR(#ffa500){''R''};|-|[[インテグレーション>Iris/Explanation#tb_integration]]|胸も可|
|AC17-1030|[[フシギ団ＶＳパイレーツ>IrisCard/ExIrisCard0#AC17-1030]]|&COLOR(#ffa500){''R''};|-|[[白銀の護手>Iris/Explanation#tb_hakugin]]||
|AC17-3010|[[補給物資の配達>IrisCard/ExIrisCard0#AC17-3010]]|''C''|-|[[運搬の心得>Iris/Explanation#tb_Unpan]]||
|~|~|~|~|[[体力強化>Iris/Explanation#tb_tairyoku]]|~|
|AC17-3020|[[バオバブの森を守れ>IrisCard/ExIrisCard0#AC17-3020]]|''C''|-|[[ウェポンビルダー>Iris/Explanation#tb_weapon]]||
|AC17-3070|[[ライギョーの汗の入手>IrisCard/ExIrisCard0#AC17-3070]]|''C''|-|[[流水の心得>Iris/Explanation#tb_ryuusui]]||
|AC18-2010|[[飛空城>IrisCard/ExIrisCard0#AC18-2010]]|&COLOR(#0000ff){''UC''};|-|[[コンバットエンジニア>Iris/Explanation#tb_CombatEngineer]]||
|AC18-2030|[[クルウルウ・ラヴァ>IrisCard/ExIrisCard0#AC18-2030]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFCCCC):火|[[ラクーンフォート>Iris/Explanation#tb_RaccoonFort]]||
|AC18-2040|[[ヤム>IrisCard/ExIrisCard0#AC18-2040]]|&COLOR(#0000ff){''UC''};|-|[[ロックオン>Iris/Explanation#tb_LockOn]]||
|AC18-3070|[[謎の男>IrisCard/ExIrisCard0#AC18-3070]]|''C''|-|[[ポテンシャルサポート>Iris/Explanation#tb_Potential]]||
|AC19-0010|[[ハスター>IrisCard/ExIrisCard0#AC19-0010]]|&COLOR(#FF0099){''SR''};|-|[[デスパレートアヴォイド>Iris/Explanation#tb_DesperateAvoid]]|服も可|
|AC19-1010|[[農場タイニー>IrisCard/ExIrisCard0#AC19-1010]]|&COLOR(#ffa500){''R''};|-|[[体力強化>Iris/Explanation#tb_tairyoku]]|服も可|
|AC19-1020|[[フリッカーテイル>IrisCard/ExIrisCard0#AC19-1020]]|&COLOR(#ffa500){''R''};|-|[[技術力強化>Iris/Explanation#tb_gijutu]]|胸も可|
|AC19-1030|[[シャボタン>IrisCard/ExIrisCard0#AC19-1030]]|&COLOR(#ffa500){''R''};|-|[[知力強化>Iris/Explanation#tb_tiryoku]]|胸も可|
|AC19-2030|[[ポットスネーキー>IrisCard/ExIrisCard0#AC19-2030]]|&COLOR(#0000ff){''UC''};|-|[[マーズの賛助>Iris/Explanation#tb_Mars]]||
|AC19-2040|[[ファームの妖精>IrisCard/ExIrisCard0#AC19-2040]]|&COLOR(#0000ff){''UC''};|-|[[大豊作>Iris/Explanation#tb_bhousaku]]||
|AC19-3020|[[アナイス>IrisCard/ExIrisCard0#AC19-3020]]|''C''|-|[[知力強化>Iris/Explanation#tb_tiryoku]]||
|AC19-3030|[[ゲンバー>IrisCard/ExIrisCard0#AC19-3030]]|''C''|-|[[唸る大胸筋>Iris/Explanation#tb_kyoukin]]||
|AC19-3090|[[ルビーとの出会い>IrisCard/ExIrisCard0#AC19-3090]]|''C''|-|[[オフェンシブサポート>Iris/Explanation#tb_Offensive]]||
|AC20-1010|[[守護魔・ウル・ルゥ>IrisCard/NormalIrisCard#AC20-1010]]|&COLOR(#ffa500){''R''};|-|[[基礎体力強化>Iris/Explanation#tb_hpup]]|胸も可|
|AC20-2010|[[守護魔・ムツキ>IrisCard/NormalIrisCard#AC20-2010]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CCFFFF):光|[[アーマープラス>Iris/Explanation#tb_armorPlus]]|服も可|
|AC20-2020|[[守護魔・キサラギ>IrisCard/NormalIrisCard#AC20-2020]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CC99FF):闇|[[基礎体力強化>Iris/Explanation#tb_hpup]]|服も可|
|AC20-2030|[[守護魔・ヤヨイ>IrisCard/NormalIrisCard#AC20-2030]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFFF99):風|[[基礎知力強化>Iris/Explanation#tb_mpup]]|服も可|
|AC20-2040|[[守護魔・ウヅキ>IrisCard/NormalIrisCard#AC20-2040]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFCCCC):火|[[斬鉄の心得>Iris/Explanation#tb_zantetu]]|服も可|
|AC20-2050|[[守護魔・サツキ>IrisCard/NormalIrisCard#AC20-2050]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99FFCC):土|[[基礎体力強化>Iris/Explanation#tb_hpup]]|服も可|
|AC20-2060|[[守護魔・ミナヅキ>IrisCard/NormalIrisCard#AC20-2060]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99CCFF):水|[[慈愛の加護>Iris/Explanation#tb_jiai]]|服も可|
|AC20-2070|[[守護魔・フミツキ>IrisCard/NormalIrisCard#AC20-2070]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99CCFF):水|[[ピュアテイスト>Iris/Explanation#tb_pureTaste]]|服も可|
|AC20-2080|[[守護魔・ハヅキ>IrisCard/NormalIrisCard#AC20-2080]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFFF99):風|[[ウェポンプラス>Iris/Explanation#tb_weaponPlus]]|服も可|
|AC20-2090|[[守護魔・キクヅキ>IrisCard/NormalIrisCard#AC20-2090]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99FFCC):土|[[基礎技術力強化>Iris/Explanation#tb_spup]]|服も可|
|AC20-2100|[[守護魔・カミア・カンナ>IrisCard/NormalIrisCard#AC20-2100]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CCFFFF):光|[[慈愛の加護>Iris/Explanation#tb_jiai]]|服も可|
|AC20-2110|[[守護魔・シモツキ>IrisCard/NormalIrisCard#AC20-2110]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFCCCC):火|[[ピュアテイスト>Iris/Explanation#tb_pureTaste]]|服も可|
|AC20-2120|[[守護魔・ロウゲツ>IrisCard/NormalIrisCard#AC20-2120]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CC99FF):闇|[[トップブリーダーの基礎>Iris/Explanation#tb_topBreederBase]]|服も可|
|AC20-3010|[[フシギ団とナニカガスムイエ>IrisCard/NormalIrisCard#AC20-3010]]|''C''|-|[[基礎技術力強化>Iris/Explanation#tb_spup]]||
|AC20-3020|[[フシギなたまご>IrisCard/NormalIrisCard#AC20-3020]]|''C''|-|[[基礎知力強化>Iris/Explanation#tb_mpup]]||
|AC21-1010|[[守護神ホルスゴーレム>IrisCard/ExIrisCard0#AC21-1010]]|&COLOR(#ffa500){''R''};|-|[[ファストサポート>Iris/Explanation#tb_fast]]|胸も可|
|AC21-1020|[[レラカムイ>IrisCard/ExIrisCard0#AC21-1020]]|&COLOR(#ffa500){''R''};|-|[[インテリジェンスサポート>Iris/Explanation#tb_Intelligence]]|胸も可|
|AC21-2010|[[流れの釣具屋>IrisCard/ExIrisCard0#AC21-2010]]|&COLOR(#0000ff){''UC''};|-|[[マーキュリーの喝采>Iris/Explanation#tb_Mercury]]||
|AC21-2020|[[マリオネット・クレイゴーレム>IrisCard/ExIrisCard0#AC21-2020]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99FFCC):土|[[技術力強化>Iris/Explanation#tb_gijutu]]||
|AC21-2030|[[マリオネット・フウジン>IrisCard/ExIrisCard0#AC21-2030]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFFF99):風|[[知力強化>Iris/Explanation#tb_tiryoku]]||
|AC21-3030|[[ポポキナ>IrisCard/ExIrisCard0#AC21-3030]]|''C''|-|[[ポテンシャルサポート>Iris/Explanation#tb_Potential]]||
|AC21-3090|[[ウッチとオッチ>IrisCard/ExIrisCard0#AC21-3090]]|''C''|-|[[初心の心得>Iris/Explanation#tb_Syosin]]||
|AC22-3010|[[ドリアード>IrisCard/NormalIrisCard#AC22-3010]]|''C''|-|[[植物種族キラー>Iris/Explanation#tb_PlantKiller]]||
|AC22-3020|[[ピヨエッグ>IrisCard/NormalIrisCard#AC22-3020]]|''C''|-|[[鳥種族キラー>Iris/Explanation#tb_BirdKiller]]||
|AC22-3030|[[スキンク>IrisCard/NormalIrisCard#AC22-3030]]|''C''|-|[[動物種族キラー>Iris/Explanation#tb_AnimalKiller]]||
|AC22-3040|[[無限回廊>IrisCard/NormalIrisCard#AC22-3040]]|''C''|-|[[昆虫種族キラー>Iris/Explanation#tb_InsectKiller]]||
|AC22-3050|[[子づれバルーンジェル>IrisCard/NormalIrisCard#AC22-3050]]|''C''|-|[[水中生物種族キラー>Iris/Explanation#tb_WaterAnimalKiller]]||
|AC22-3060|[[サラマンダー>IrisCard/NormalIrisCard#AC22-3060]]|''C''|-|[[魔法生物種族キラー>Iris/Explanation#tb_MagicCreatureKiller]]||
|AC22-3070|[[ロウブナイト>IrisCard/NormalIrisCard#AC22-3070]]|''C''|-|[[死霊種族キラー>Iris/Explanation#tb_UndeadKiller]]||
|AC22-3080|[[機関車からの逃走>IrisCard/NormalIrisCard#AC22-3080]]|''C''|-|[[機械種族キラー>Iris/Explanation#tb_MachineKiller]]||
|AC22-3090|[[ドミニオン・ペナンス>IrisCard/NormalIrisCard#AC22-3090]]|''C''|-|[[人間種族キラー>Iris/Explanation#tb_HumanKiller]]||
|AC22-3100|[[カバリスト>IrisCard/NormalIrisCard#AC22-3100]]|''C''|-|[[精霊種族キラー>Iris/Explanation#tb_ElementKiller]]||
|AC22-3110|[[飛空城ファーム>IrisCard/NormalIrisCard#AC22-3110]]|''C''|-|[[岩種族キラー>Iris/Explanation#tb_RockKiller]]||
|AC22-3120|[[天戒と一吾>IrisCard/NormalIrisCard#AC22-3120]]|''C''|BGCOLOR(#FFCCCC):火|-|服も可|
|AC22-3130|[[染色娘>IrisCard/NormalIrisCard#AC22-3130]]|''C''|BGCOLOR(#99CCFF):水|-|服も可|
|AC22-3140|[[ジョーカーお兄さん>IrisCard/NormalIrisCard#AC22-3140]]|''C''|BGCOLOR(#FFFF99):風|-|服も可|
|AC22-3150|[[アルマジロン>IrisCard/NormalIrisCard#AC22-3150]]|''C''|BGCOLOR(#99FFCC):土|-|服も可|
|AC22-3160|[[スケルトン>IrisCard/NormalIrisCard#AC22-3160]]|''C''|BGCOLOR(#CC99FF):闇|-|服も可|
|AC22-3170|[[天駆ける虹色のモーモー>IrisCard/NormalIrisCard#AC22-3170]]|''C''|BGCOLOR(#CCFFFF):光|-|服も可|
|AC22-3180|[[エミル君との出会い>IrisCard/NormalIrisCard#AC22-3180]]|''C''|-|[[HP最大上昇>Iris/Explanation#tb_HpMaxUp]]|服/胸も可|
|AC23-1010|[[ラタトスク>IrisCard/ExIrisCard0#AC23-1010]]|&COLOR(#ffa500){''R''};|-|[[ダメージコントロール>Iris/Explanation#tb_damageControl]]||
|AC23-2010|[[ペンドラゴン>IrisCard/ExIrisCard0#AC23-2010]]|&COLOR(#0000ff){''UC''};|-|[[オフェンシブサポート>Iris/Explanation#tb_Offensive]]||
|AC23-3020|[[鳥種族モンスターズ>IrisCard/ExIrisCard0#AC23-3020]]|''C''|-|[[鳥種族アドバンテージ>Iris/Explanation#tb_BirdAdvantage]]||
|AC23-3060|[[魔法生物種族モンスターズ>IrisCard/ExIrisCard0#AC23-3060]]|''C''|-|[[魔法生物種族アドバンテージ>Iris/Explanation#tb_MagicCreatureAdvantage]]||
|AC23-3080|[[機械種族モンスターズ>IrisCard/ExIrisCard0#AC23-3080]]|''C''|-|[[機械種族アドバンテージ>Iris/Explanation#tb_MachineAdvantage]]||
|AC23-3110|[[岩種族モンスターズ>IrisCard/ExIrisCard0#AC23-3110]]|''C''|-|[[岩種族アドバンテージ>Iris/Explanation#tb_RockAdvantage]]||
|AC24-0010|[[ネコマタハート>IrisCard/ExIrisCard0#AC24-0010]]|&COLOR(#FF0099){''SR''};|-|[[深愛の絆>Iris/Explanation#tb_shinai]]||
|AC24-1020|[[ザナフとマルク>IrisCard/ExIrisCard0#AC24-1020]]|&COLOR(#ffa500){''R''};|-|[[トップブリーダーの心得>Iris/Explanation#tb_topBreeder]]||
|~|~|~|~|[[トップブリーダーの秘訣>Iris/Explanation#tb_topBreederhiketu]]|~|
|AC24-2020|[[アクトキューブ製造機>IrisCard/ExIrisCard0#AC24-2020]]|&COLOR(#0000ff){''UC''};|-|[[トップブリーダーの秘訣>Iris/Explanation#tb_topBreederhiketu]]||
|AC24-2030|[[秘密の場所>IrisCard/ExIrisCard0#AC24-2030]]|&COLOR(#0000ff){''UC''};|無|[[体力強化>Iris/Explanation#tb_tairyoku]]|服も可|
|~|~|~|~|[[知力強化>Iris/Explanation#tb_tiryoku]]|~|
|~|~|~|~|[[技術力強化>Iris/Explanation#tb_gijutu]]|~|
|AC24-3020|[[フリート>IrisCard/ExIrisCard0#AC24-3020]]|''C''|-|[[技術力強化>Iris/Explanation#tb_gijutu]]||
|AC24-3040|[[ライザ>IrisCard/ExIrisCard0#AC24-3040]]|''C''|-|[[リフレッシュサポート>Iris/Explanation#tb_refresh]]||
|AC24-3090|[[サファイアとの出会い>IrisCard/ExIrisCard0#AC24-3090]]|''C''|-|[[インテリジェンスサポート>Iris/Explanation#tb_Intelligence]]||
|AC24-3100|[[ダイヤモンドとの出会い>IrisCard/ExIrisCard0#AC24-3100]]|''C''|無|[[深愛の絆>Iris/Explanation#tb_shinai]]|服も可|
|AC25-0010|[[アスタロト>IrisCard/ExIrisCard1#AC25-0010]]|&COLOR(#FF0099){''SR''};|-|[[灰燼の招手>Iris/Explanation#tb_kaijin]]||
|AC25-0020|[[フレア>IrisCard/ExIrisCard1#AC25-0020]]|&COLOR(#FF0099){''SR''};|-|[[時空の導き手>Iris/Explanation#tb_Zikuu]]|服も可|
|AC25-1010|[[ティル>IrisCard/ExIrisCard1#AC25-1010]]|&COLOR(#ffa500){''R''};|-|[[スタミナリダクション>Iris/Explanation#tb_staminareduction]]||
|AC25-1020|[[フラー>IrisCard/ExIrisCard1#AC25-1020]]|&COLOR(#ffa500){''R''};|-|[[イベイジョンステップ>Iris/Explanation#tb_evasionstep]]||
|AC25-1030|[[グネー>IrisCard/ExIrisCard1#AC25-1030]]|&COLOR(#ffa500){''R''};|-|[[マジックリダクション>Iris/Explanation#tb_magicreduction]]||
|AC25-2020|[[ノーザン王国の民>IrisCard/ExIrisCard1#AC25-2020]]|&COLOR(#0000ff){''UC''};|無|[[スティグマータ>Iris/Explanation#tb_stigmata]]|服も可|
|AC25-2030|[[ノーザン地下・市民街>IrisCard/ExIrisCard1#AC25-2030]]|&COLOR(#0000ff){''UC''};|-|[[ラクーンフォート>Iris/Explanation#tb_RaccoonFort]]||
|AC25-3020|[[デックアールヴ>IrisCard/ExIrisCard1#AC25-3020]]|''C''|-|[[マジックブレイズン>Iris/Explanation#tb_Magic_b]]||
|AC25-3070|[[ローゼス>IrisCard/ExIrisCard1#AC25-3070]]|''C''|-|[[ウェポンビルダー>Iris/Explanation#tb_weapon]]||
|AC26-0020|[[アルマ全員集合！>IrisCard/NormalIrisCard#AC26-0020]]|&COLOR(#FF0099){''SR''};|-|[[真心の絆>Iris/Explanation#tb_tiesofcordiality]]|胸も可|
|~|~|~|~|[[フェイタルインフェクト>Iris/Explanation#tb_fatalinfect]]|~|
|AC26-2040|[[ローキー・アルマ>IrisCard/NormalIrisCard#AC26-2040]]|&COLOR(#0000ff){''UC''};|-|[[ジャイアントキリング>Iris/Explanation#tb_gkilling]]||
|~|~|~|~|[[真心の絆>Iris/Explanation#tb_tiesofcordiality]]|~|
|AC26-2090|[[ミニー・ドゥ・アルマ>IrisCard/NormalIrisCard#AC26-2090]]|&COLOR(#0000ff){''UC''};|-|[[フェイタルインフェクト>Iris/Explanation#tb_fatalinfect]]||
|AC26-3020|[[アミス先生の教室>IrisCard/NormalIrisCard#AC26-3020]]|''C''|無|-||
|AC27-1010|[[アルカードと清姫>IrisCard/NormalIrisCard#AC27-1010]]|&COLOR(#ffa500){''R''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|服も可|
|~|~|~|~|[[トップブリーダーの基礎>Iris/Explanation#tb_topBreederBase]]|~|
|AC27-1020|[[ル･フェイとバステト>IrisCard/NormalIrisCard#AC27-1020]]|&COLOR(#ffa500){''R''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|服/胸も可|
|~|~|~|~|[[慈愛の加護>Iris/Explanation#tb_jiai]]|~|
|AC27-1030|[[キャプテンキッドと玉藻>IrisCard/NormalIrisCard#AC27-1030]]|&COLOR(#ffa500){''R''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|服/胸も可|
|~|~|~|~|[[ピュアテイスト>Iris/Explanation#tb_pureTaste]]|~|
|AC27-1040|[[ローレライとパラケルスス>IrisCard/NormalIrisCard#AC27-1040]]|&COLOR(#ffa500){''R''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|服/胸も可|
|~|~|~|~|[[インテリジェンスサポート>Iris/Explanation#tb_Intelligence]]|~|
|AC27-1060|[[ルチフェロとステラ>IrisCard/NormalIrisCard#AC27-1060]]|&COLOR(#ffa500){''R''};|BGCOLOR(BLACK):COLOR(WHITE):光/闇|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|服も可|
|AC27-2010|[[アルカード・ロア>IrisCard/NormalIrisCard#AC27-2010]]|&COLOR(#0000ff){''UC''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|服も可|
|AC27-2020|[[清姫・ロア>IrisCard/NormalIrisCard#AC27-2020]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFCCCC):火|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|服も可|
|~|~|~|~|[[斬鉄の心得>Iris/Explanation#tb_zantetu]]|~|
|AC27-2050|[[キャプテンキッド・ロア>IrisCard/NormalIrisCard#AC27-2050]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99CCFF):水|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|服も可|
|AC27-2060|[[玉藻・ロア>IrisCard/NormalIrisCard#AC27-2060]]|&COLOR(#0000ff){''UC''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|服/胸も可|
|AC27-2070|[[ローレライ・ロア>IrisCard/NormalIrisCard#AC27-2070]]|&COLOR(#0000ff){''UC''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|服/胸も可|
|~|~|~|~|[[水中生物種族ボーナス>Iris/Explanation#tb_WaterAnimalBonus]]|~|
|AC27-2100|[[メフィストフェレス・ロア>IrisCard/NormalIrisCard#AC27-2100]]|&COLOR(#0000ff){''UC''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]||
|~|~|~|~|[[基礎知力強化>Iris/Explanation#tb_mpup]]|~|
|AC27-2110|[[ルチフェロ・ロア>IrisCard/NormalIrisCard#AC27-2110]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CC99FF):闇|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|服も可|
|AC27-2120|[[ステラ・ロア>IrisCard/NormalIrisCard#AC27-2120]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CCFFFF):光|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|服も可|
|AC28-0020|[[ダンプティー・アルマ>IrisCard/ExIrisCard1#AC28-0020]]|&COLOR(#FF0099){''SR''};|-|[[マリオネットの加護>Iris/Explanation#tb_MarionetteKago]]|胸も可|
|AC28-1020|[[ネイティブタイニー>IrisCard/ExIrisCard1#AC28-1020]]|&COLOR(#ffa500){''R''};|-|[[コンバットエンジニア>Iris/Explanation#tb_CombatEngineer]]||
|AC28-1030|[[パイレーツタイニー>IrisCard/ExIrisCard1#AC28-1030]]|&COLOR(#ffa500){''R''};|-|[[スティグマータ>Iris/Explanation#tb_stigmata]]|服も可|
|AC28-2010|[[ご当地タイニー（北海道・東北）>IrisCard/ExIrisCard1#AC28-2010]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99CCFF):水|[[知力強化>Iris/Explanation#tb_tiryoku]]||
|AC28-2030|[[ご当地タイニー（中部）>IrisCard/ExIrisCard1#AC28-2030]]|&COLOR(#0000ff){''UC''};|-|[[体力強化>Iris/Explanation#tb_tairyoku]]||
|AC28-2050|[[ご当地タイニー（中国・四国）>IrisCard/ExIrisCard1#AC28-2050]]|&COLOR(#0000ff){''UC''};|-|[[エクセレントテイスト>Iris/Explanation#tb_excellentTaste]]||
