# DEM/Chip/SkillChip

#author("2017-04-06T17:35:45+00:00","","")
#include(DEM/Menu,notitle)
*DEMスキルチップ一覧 [#c47ab0c5]

#contents
→&size(18){''ステータス系チップ一覧は''[[''こちら''>DEM/Chip]]};

←&size(18){[[DEMトップに戻る>DEM]]};

→''チップの入手方法''は[[チップ>DEM#mdd839fa]]を参照
→スキル詳細は[[''DEMスキル一覧''>DEM/Skill]]を参照

先頭が■のチップは経験値で購入、先頭が□のチップは課金専用です
**スキルチップ重ねがけについて [#f449d315]

LV100以上のDEMは、「同一のスキルチップ」を複数枚重ねて設置する事ができます。

すでに設置されているスキルチップに対し、同一のスキルチップをドラッグ＆ドロップすることにより、スキルチップを重ねることができます。
エンゲージタスク効果は、重ね合わせ後のスキルLVに+1されます。

|>|>|~ノーマルチップ&br;■SK-[XXXXX]||>|>|~課金チップ&br;□SK-[XXXXX]|
|~Skill&br;Lv|~必要枚数|~累計枚数||~Skill&br;Lv|~必要枚数|~累計枚数|
|~Lv1|1|1|  |~Lv1|1|1|
|~Lv2|2|3|  |~Lv2|2|3|
|~Lv3|5|8|  |~Lv3|3|6|
|~Lv4|8|16| |~Lv4|5|11|
|~Lv5|10|26||~Lv5|7|18|
|~Lv6|12|38||~Lv6|8|26|
|~Lv7|14|52||~Lv7|9|35|
|~Lv8|16|68||~Lv8|10|45|
|~Lv9|18|86||~Lv9|11|56|
|~Lv10|20|106||~Lv10|12|68|

***共通系 [#CommonSkillChop]
|~名前|~形状(■)|~形状(□)|~最大Lv|~必要JobExp|~課金アイテム|h
|■SK-[ドッペルゲンガー]&br;□SK-[ドッペルゲンガー]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BDoppelganger%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BKisyuu%5D.png,nolink);|3|8,100,000|スキル箱・フュンフ|
|■SK-[ルミナリィノヴァ]&br;□SK-[ルミナリィノヴァ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B6x6L-2RV%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B5x5L-2HR%5D.png,nolink);|5|12,420,000|スキル箱・フュンフ|
|■SK-[ラストインクエスト]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BSpearCyclone%5D.png,nolink,56x56);|-|5|8,100,000||
|■SK-[ファイアボール]&br;□SK-[ファイアボール]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-9%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-3%5D.png,nolink);|5|792|スキル箱・アインス|
|■SK-[アイスアロー]&br;□SK-[アイスアロー]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-10%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-4%5D.png,nolink);|5|792|スキル箱・アインス|
|■SK-[ランドクラッグ]&br;□SK-[ランドクラッグ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-11%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-X%5D.png,nolink);|5|792|スキル箱・アインス|
|■SK-[サンダーボルト]&br;□SK-[サンダーボルト]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-12%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-6%5D.png,nolink);|5|792|スキル箱・アインス|
|■SK-[ファイアウォール]&br;□SK-[ファイアウォール]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-13%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-3%5D.png,nolink);|5|43,200|スキル箱・ツヴァイ|
|■SK-[ファイアブラスト]&br;□SK-[ファイアブラスト]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B5x5L-2VR%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B3x4%5D.png,nolink);|5|291,600|スキル箱・ツヴァイ|
|■SK-[アクアブラスト]&br;□SK-[アクアブラスト]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B5x5L-2HR%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x3%5D.png,nolink);|5|291,600|スキル箱・ツヴァイ|
|■SK-[クラッグブラスト]&br;□SK-[クラッグブラスト]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x8%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x9L%5D.png,nolink);|5|291,600|スキル箱・ツヴァイ|
|■SK-[ライトニングブラスト]&br;□SK-[ライトニングブラスト]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x8L%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x4L%5D.png,nolink);|5|291,600|スキル箱・ツヴァイ|
|■SK-[ゼン]&br;□SK-[ゼン]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x8L-2%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BZen%5D.png,nolink);|5|8,640,000|スキル箱・フュンフ|
|■SK-[アイシクルテンペスト]&br;□SK-[アイシクルテンペスト]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x4%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x6%5D.png,nolink);|5|5,643,000|スキル箱・フュンフ|
|■SK-[ラーヴァフロウ]&br;□SK-[ラーヴァフロウ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BCrossCrest%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BChaosGate%5D.png,nolink);|5|4,320,000|スキル箱・フュンフ|
|■SK-[アクアウェーブ]&br;□SK-[アクアウェーブ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x4L%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x1%5D.png,nolink);|3|6,120,000|スキル箱・フュンフ|
|■SK-[グラヴィティフォール]&br;□SK-[グラヴィティフォール]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B5x6%5D.png,nolink,56x56);|''□ □ □ □ □&br;□ □ □ □ □&br;□ □ □ □ □&br;□ □ □ □ □&br;□ □ □ □ □''|5|8,100,000|スキル箱・フュンフ|
|■SK-[アシッドミスト]&br;□SK-[アシッドミスト]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BMeisou%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BAcid%5D.png,nolink);|5|504,000|スキル箱・ドライ|
|■SK-[エレメンタルラース]&br;□SK-[エレメンタルラース]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B5x5L-2VR%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B3x4%5D.png,nolink);|5|3,645,000|スキル箱・フュンフ|
|■SK-[ヒーリング]&br;□SK-[ヒーリング]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B1x9%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BEnergyShock%5D.png,nolink);|5|2,376|スキル箱・アインス|
|■SK-[ホーリーライト]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-14%5D.png,nolink,56x56);|-|5|594||
|■SK-[アレス]&br;□SK-[アレス]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x4%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x5Cap2%5D.png,nolink);|10|5,400,000|スキル箱・フィーア|
|■SK-[ホーリーフェザー]&br;□SK-[ホーリーフェザー]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BHolyFeather%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x4%5D.png,nolink);|5|64,800,000|スキル箱・ゼクス|
|■SK-[封印]&br;□SK-[封印]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B1x9%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BEnergyShock%5D.png,nolink);|3|216,000|スキル箱・フィーア|
|■SK-[封魔]&br;□SK-[封魔]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x8%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/LI-%5BXX-1-2%5D.png,nolink);|3|1,080,000|スキル箱・フィーア|
|■SK-[プラーナ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B5x5L-2HR%5D.png,nolink,56x56);|-|5|9,720,000||
|■SK-[ラウズボディ]&br;□SK-[ラウズボディ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x4%5D.png,nolink,56x56);||1|2,484,000|スキル箱・ツェーン|
|■SK-[ラウズメンタル]&br;□SK-[ラウズメンタル]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B5x5L-2VR%5D.png,nolink,56x56);||1|2,592,000|スキル箱・ツェーン|
|■SK-[ブラックウィドウ]&br;□SK-[ブラックウィドウ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-3%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-B1-1%5D.png,nolink);|5|495|スキル箱・アインス|
|■SK-[カオスウィドウ]&br;□SK-[カオスウィドウ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B3x2%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-1%5D.png,nolink);|5|59,400|スキル箱・ツヴァイ|
|■SK-[シャドウブラスト]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B5x5L-2VR%5D.png,nolink,56x56);|-|5|291,600||
|■SK-[ソウルスティール]&br;□SK-[ソウルスティール]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x4L%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x1%5D.png,nolink);|5|57,600|スキル箱・フィーア|
|■SK-[グリムリーパー]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x6%5D.png,nolink,56x56);|-|5|57,600||
|■SK-[アブレイション]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B5x5L-2HR%5D.png,nolink,56x56);|-|5|3,847,500||
|■SK-[ダークブレイズ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x5Cap2%5D.png,nolink,56x56);|-|3|11,880,000||
|■SK-[ヒンダーハンド]&br;□SK-[ヒンダーハンド]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B3x4%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BEnergyBarrier%5D.png,nolink);|5|3,168,000|スキル箱・フュンフ|
|■SK-[ライフテイク]&br;□SK-[ライフテイク]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x8%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x9L%5D.png,nolink);|5|6,237,000|スキル箱・ドライ|
|■SK-[ソウルバーン]&br;□SK-[ソウルバーン]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x3%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BMeisou%5D.png,nolink);|5|2,025,000|スキル箱・ドライ|
|■SK-[スピリットバーン]&br;□SK-[スピリットバーン]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x9L%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B1x9%5D.png,nolink);|5|2,025,000|スキル箱・フュンフ|
|■SK-[魂抜き]&br;□SK-[魂抜き]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x4L%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x1%5D.png,nolink);|5|2,160,000|スキル箱・フュンフ|
|■SK-[カオスゲイト]&br;□SK-[カオスゲイト]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BChaosGate%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BChaosGate2%5D.png,nolink);|5|5,872,500|スキル箱・フュンフ|
|■SK-[ストーンウォール]&br;□SK-[ストーンウォール]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-15%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-X%5D.png,nolink);|5|18,900|スキル箱・ツヴァイ|
|■SK-[ヴァリアブルウエポン]&br;□SK-[ヴァリアブルウエポン]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-E1-5%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-8%5D.png,nolink);|6|291,600|スキル箱・ゼクス|
|■SK-[ソリッドコーティング]&br;□SK-[ソリッドコーティング]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BSolidCoating%5D1.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BSolidCoating%5D2.png,nolink);|5|60,000,000|スキル箱・ゼクス|
|■SK-[ファイアアート]&br;□SK-[ファイアアート]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/LI-%5BXX-1-2%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-S1-Z%5D.png,nolink);|1|250,000,000|スキル箱・ゼクス|
|■SK-[ファイアストーム：プライム]&br;□SK-[ファイアストーム：プライム]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x4%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x3%5D.png,nolink);|1|1,224,000|スキル箱・ゼクス|
|■SK-[アースストーム：プライム]&br;□SK-[アースストーム：プライム]|~|~|~|~|~|
|■SK-[サンダーストーム：プライム]&br;□SK-[サンダーストーム：プライム]|~|~|~|~|~|
|■SK-[アクアストーム：プライム]&br;□SK-[アクアストーム：プライム]|~|~|~|~|~|
|■SK-[レガシースペル]&br;□SK-[レガシースペル]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B6x6L-2RV%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B3x4%5D.png,nolink);|3|320,000,000|スキル箱・ズィーベン|
|■SK-[インサニティヴォーテックス]&br;□SK-[インサニティヴォーテックス]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B6x6L-2VR%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x4L%5D.png,nolink);|4|320,000,000|スキル箱・ズィーベン|

***バックパッカー系 [#BPSkillChip]
|~名前|~形状(■)|~形状(□)|~最大Lv|~必要JobExp|~課金アイテム|h
|LEFT:|CENTER:SIZE(8):BGCOLOR():COLOR():|CENTER:SIZE(8):BGCOLOR():COLOR():|CENTER:|RIGHT:|LEFT:|c
|■SK-[スローダート]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-16%5D.png,nolink,56x56);|-|5|72,000||
|■SK-[ビートダウン]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x3%5D.png,nolink,56x56);|-|10|59,400||
|■SK-[プライスハイク]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-17%5D.png,nolink,56x56);|-|10|54,000||
|■SK-[鑑定]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-B1-1%5D.png,nolink,56x56);|-|1|270||
|■SK-[応援]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-3%5D.png,nolink,56x56);|-|5|10,800||
|■SK-[焚き火]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-2%5D.png,nolink,56x56);|-|3|8,100||
|■SK-[キャンプ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x1%5D.png,nolink,56x56);|-|10|8,100||
|■SK-[ビバーク]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x6%5D.png,nolink,56x56);|-|5|216.000||
|■SK-[ロッククラッシャー]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-18%5D.png,nolink,56x56);|-|5|432,000||
|■SK-[アースクラッシュ]&br;□SK-[アースクラッシュ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/LI-%5BXX-1-2%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B3x2%5D.png,nolink);|5|1,224,000|スキル箱・フュンフ|
|■SK-[グラストラップ]&br;□SK-[グラストラップ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B3x4%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BEnergyBarrier%5D.png,nolink);|5|144,000|スキル箱・アインス|
|■SK-[ファランクス]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-19%5D.png,nolink,56x56);|-|5|252,000||
|■SK-[ダストエクスプロージョン]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x3%5D.png,nolink,56x56);|-|5|3,366,000||
|■SK-[ケイブビバーク]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x8%5D.png,nolink,56x56);|-|5|288,000||
|■SK-[強運]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x8L%5D.png,nolink,56x56);|-|5|972,000||
|■SK-[警戒]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x4%5D.png,nolink,56x56);|-|5|2,268,000||
|■SK-[エスケープ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-3%5D.png,nolink,56x56);|-|1|3,645,000||
|■SK-[ダットフット]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BEnergyShock%5D.png,nolink,56x56);|-|5|162,000||
|■SK-[一か八か]&br;□SK-[一か八か]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x9L%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B1x9%5D.png,nolink);|5|306,000|スキル箱・フュンフ|
|■SK-[スタミナテイク]&br;□SK-[スタミナテイク]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x8%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x6%5D.png,nolink);|5|25,200,000|スキル箱・ゼクス|
|■SK-[取り扱い指示]&br;□SK-[取り扱い指示]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-8%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-B1-1%5D.png,nolink);|3|63,000|スキル箱・ゼクス|

チップ画像添付は[[こちらのページ>ChipImage]]にお願いします

*情報提供用コメント欄（Wikiの編集の苦手な方はこちらに） [#r78081a7]
COLOR(red):コメント欄はゲーム内容を質問する場ではありません。質問等は[[DEMスレッド>DEM#shitaraba]]にどうぞ。~

#pcomment
