# MobDimension

#author("2022-06-27T18:32:25+00:00","","")
*モンスター（ディメンションダンジョン） [#nf147153]
#contents
#include(MobMenu,notitle)

-ドロップ品凡例
--&color(orange){オレンジ色};：知識があると出やすいもの
--&color(red){赤色};：知識が無ければ出ないもの
--&color(slateblue){紫色};：極めて稀なもの
--&color(#cccccc){灰色};：未確定のもの（情報待ち保留中です）

**エミル世界[#DimensionEmil]

***ディメンション廃炭鉱 [#Haitankou]
|~画像|~名前|~LV|~HP|~Exp/Job|~属性|~性格|~出現場所|~ドロップ品|~使用スキル|~その他|h
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/AncientCaster.jpg,nolink,100x100);|D-エンシェントキャスター|106|40,500|%%47,000/49,000%%&br;65,800/68,600|BGCOLOR(#c4adff):闇&br;(49↓)|Active|D毒の湿原&br;Dイーストダンジョン|ディメンション水晶(PT)&br;最高級ヒールポーション&br;高級マジックポーション&br;マルチコンディション|ポイズンマーシュ&br;トランスマインド&br;ソリッドオーラ&br;ダークブレイズ|ポイズンマーシュが高火力&br;高M.DEF&br;ライズ有効|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Veillard.jpg,nolink,100x100);|D-ベイヤール|107|58,000|%%53,000/55,000%%&br;68,900/71,500|BGCOLOR(#c4adff):闇|Active|Dイーストダンジョン|ディメンション水晶(PT)&br;最高級ヒールポーション&br;想いの真結晶&br;ブランクイリスカード5|ヴァニッシュメント&br;ウィンドライズ&br;オブセッション|ライズ有効|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Marou.jpg,nolink,100x98);|D-魔狼|109|65,000|%%68,000/67,000%%&br;88,400/87,100|BGCOLOR(#c4adff):闇|Active|Dイーストダンジョン|ディメンション水晶(PT)&br;最高級ヒールポーション&br;想いの真結晶&br;ブランクイリスカード5&br;ブランクイリスカード10|ドップ&br;ダークブレイズ&br;ハウルアウト|BOSS属性&br;ライズ有効|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/Ratatoskr.JPG,nolink,100x100);|ラタトスク|111|300,000?|%%150,000/150,000%%&br;253,500/253,500|BGCOLOR(#ffffff):光&br;(50↑)|Active|Dイーストダンジョン|ディメンション硬石(PT)&br;ディメンション水晶(PT)|ガトリングブレイズ&br;リフレクション&br;セイントファング&br;氷化ガス|マップに1体のみ&br;BOSS属性|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/Vidofnir.jpg,nolink,100x100);|ヴィゾーフニル|115|200,000?|50,000/50,000|BGCOLOR(#ffffff):''光''/風|Active|Dイーストダンジョン|ディメンション水晶(PT)&br;最高級ヒールポーション&br;ブランクイリスカード&br;ブランクイリスカードR|ノクシャスブラスト&br;ハウルアウト&br;ヴァニッシュメント(死亡時)&br;オブセッション|フレースヴェルグの取巻き&br;BOSS属性|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/Hraesvelgr.jpg,nolink,100x100);|フレースヴェルグ|120|5,000,000?|750,000/750,000|BGCOLOR(#fff68f):風&br;(51↑)|Active|Dイーストダンジョン|宝箱18(PT)&br;ディメンション水晶(PT)&br;ブランクイリスカード10(PT)&br;&color(red){背負い魔・ブースト};|アブソリュートテリトリー&br;ハウリングスイーザー&br;リストリクトリバース&br;メガダークブレイズ&br;ヴィゾーフニル召喚|BOSS&br;出現時にヴィゾーフニル召喚を使用&br;取巻き2匹以下で再召喚|

***ディメンション氷結の坑道 [#FrozenTunnel]
※ぬいぐるみ部屋の奥からスタート
|~画像|~名前|~LV|~HP|~Exp/Job|~属性|~性格|~出現場所|~ドロップ品|~使用スキル|~その他|h
|CENTER:|LEFT:|CENTER:|RIGHT:|RIGHT:|CENTER:|LEFT:|LEFT:|LEFT:|LEFT:|LEFT|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/MagePururu.jpg,nolink,100x100);|D-メイジプルル|105|43,200|36,000/35,000|BGCOLOR(#ffffff):光|Active|1F|&br;ディメンション琥珀&br;最高級ヒールポーション&br;高級マジックポーション&br;高級スタミナポーション&br;|ホーリーライト&br;ヒーリング&br;ディープフォレスト&br;エナジーシールド||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Edge.jpg,nolink,100x100);|D-エッジ|105|45,600|37,000/36,000|BGCOLOR(#98fb98):土|Active|1F|&br;ディメンション琥珀&br;最高級ヒールポーション&br;高級マジックポーション&br;高級スタミナポーション&br;|スリープポゼション&br;マジックスロウ&br;バイタリティダウン&br;ハイパーチャージ||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/GreyHound.jpg,nolink,100x101);|D-グレイハウンド|106|57,600|45,000/40,000|BGCOLOR(#c4adff):闇|Active|1F&br;|&br;ディメンション琥珀&br;最高級ヒールポーション&br;高級マジックポーション&br;高級スタミナポーション&br;|ファランクス&br;ダークバラッド&br;ショックウェーブ&br;アサルト||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Dumpty.jpg,nolink,100x100);|D-ダンプティー|107|72,000|64,000/63,000|BGCOLOR(#c4adff):闇|Active|1F|&br;ディメンション琥珀&br;最高級ヒールポーション&br;高級マジックポーション&br;高級スタミナポーション&br;マルチコンディション&br;ブランクイリスカード&br;|ブラックホール&br;サテライトカロン&br;リフレクション&br;ポケポケ||
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/FrozenPururu.jpg,nolink,100x100);|D-フローズンプルル|107|76,700|62,000/60,000|BGCOLOR(#bbffff):水|Active|2F|ディメンション琥珀&br;最高級ヒールポーション&br;高級スタミナポーション|アイスグローブ&br;スタンブロウ&br;サイレントポゼション&br;ファイアシールド|ファイアシールドで火属性に変化&br;（火属性の被ダメが1になる）&br;「！」を出さずに襲ってくることがある|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/SnowCrystal.jpg,nolink,100x100);|D-スノークリスタル|107|83,625|66,000/64,000|BGCOLOR(#bbffff):水|Active|2F|ディメンション琥珀&br;高級スタミナポーション&br;リザレクションポーション|クロスファイア&br;ウォーターバーン&br;マジックシールド|ファイアシールドで火属性に変化&br;（火属性の被ダメが1になる）|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/IcyCool.jpg,nolink,100x100);|D-アイシクール|108|88,400|69,000/63,000|BGCOLOR(#bbffff):水|Active|2F|ディメンション琥珀&br;高級マジックポーション|デッドエンド&br;クロスリバー&br;ララバイ&br;アースライズ|ファイアシールドで火属性に変化&br;（火属性の被ダメが1になる）|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/IceDoll.jpg,nolink,100x107);|D-アイスドール|109|93,600|70,000/61,000|BGCOLOR(#bbffff):水|Active|2F|ディメンション琥珀&br;高級マジックポーション&br;高級スタミナポーション|スリープポゼション&br;氷化ガス&br;デッドリーアタック&br;サテライトマリナー|ファイアシールドで火属性に変化&br;（火属性の被ダメが1になる）|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/iceelement.png,nolink,100x100);|D-アイスエレメント|124|195,000|235,000/200,000|BGCOLOR(#bbffff):水&br;(100)|Active|2F|最高級ヒールポーション(PT)&br;ブランクイリスカード(PT)&br;ブランクイリスカード5&br;ブランクイリスカード10|アイシクルテンペスト&br;ヴァニッシュメント&br;ディバインバリア&br;エナジーストーム|低DEF&br;高M.DEF&br;BOSS属性&br;出現時にディスペルオーラを発動&br;死亡時に氷化ガスを使用&br;MAPに常に2体出現（即湧き）&br;ファイアシールドを受けても水属性のまま|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Death.jpg,nolink,100x100);|D-デス|124|87,000|182,000/175,000|BGCOLOR(#98fb98):''土''/光|Active|1F&br;2F&br;3F|ディメンション琥珀&br;最高級ヒールポーション(PT)&br;濃縮スタミナポーション&br;ブランクイリスカード5(PT)|ナッシングネス&br;連続攻撃&br;一閃&br;オブセッション|BOSS属性&br;アンデッド&br;土属性50↑60↓&br;高A.SPD&br;高クリティカル&br;1Fでは常に1体のみ(即湧き)&br;2Fでは常に2体のみ(即湧き)&br;ホーリーシールドで光属性に変化|
//↑弓水矢(水付与60)で変化
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/RottyPururu.png,nolink,100x100);|D-ロッティープルル|115|94,900|128,000/1|BGCOLOR(#c4adff):闇|Active|3F|ディメンション琥珀&br;最高級ヒールポーション&br;高級スタミナポーション&br;マルチコンディション|ダークバラッド&br;石化ガス&br;スケア&br;ウォーターライズ|ライズ有効&br;アンデッド&br;ホーリーシールドで光属性に変化|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/smellman.png,nolink,100x100);|D-スメルマン|118|115,700|136,000/1|BGCOLOR(#c4adff):闇||3F|ディメンション琥珀&br;最高級ヒールポーション&br;高級マジックポーション&br;マルチコンディション|コンフュージョンブロウ&br;ディープフォレスト&br;ノクシャスブラスト|ライズ有効&br;アンデッド&br;ホーリーシールドで光属性に変化|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/UndeadArmor.jpg,nolink,100x100);|D-アンデッドアーマー|122|106,150|139,000/1|BGCOLOR(#c4adff):闇||3F|ディメンション琥珀&br;高級マジックポーション&br;リザレクションポーション|ロラン&br;リフレクションウォール&br;ホーリーシールド|アンデッド&br;ホーリーシールドで光属性に変化|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Guards.jpg,nolink,100x100);|D-ガーズ|125|110,500|196,000/1|BGCOLOR(#c4adff):闇||3F|ディメンション琥珀(PT)&br;最高級ヒールポーション(PT)&br;濃縮マジックポーション&br;ブランクイリスカードUC(PT)|エクスプロージョン&br;スプラッシュ&br;アースクエイク&br;ローリングサンダー|BOSS属性&br;アンデッド&br;高A.SPD&br;ホーリーシールドで光属性に変化|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/Soulooter.jpg,nolink,100x100);|D-ソウルーター|125|117,000|194,000/1|BGCOLOR(#c4adff):闇||3F|ディメンション琥珀(PT)&br;最高級ヒールポーション(PT)&br;濃縮スタミナポーション|ファランクス&br;デクライズウェポン&br;グラヴィティフォール&br;ディビリテイト|BOSS属性&br;アンデッド&br;高A.SPD&br;ホーリーシールドで光属性に変化|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Orcus.jpg,nolink,100x100);|D-オルクス|126|123,500|203,000/1|BGCOLOR(#c4adff):闇||3F|ディメンション琥珀(PT)&br;最高級ヒールポーション(PT)&br;濃縮マジスタポーション|ライトバラッド&br;ダークブレイズ&br;ハウルアウト&br;ヴァニッシュメント|BOSS属性&br;アンデッド&br;高A.SPD&br;高クリティカル&br;ホーリーシールドで光属性に変化|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/DarkElement.jpg,nolink,100x100);|D-ダークエレメント|127|234,000|290,000/260,000|BGCOLOR(#c4adff):闇|Active|3F|最高級ヒールポーション(PT)&br;ブランクイリスカード５(PT)|メガダークブレイズ&br;ハウリングスクイーザー&br;エナジーブラスト&br;ディバインバリア&br;|BOSS属性&br;出現時にエセリアルボディ&br;死亡時に猛毒スロウガス&br;MAPに常に3体出現(即湧き)&br;ホーリーシールドを受けても闇属性のまま|
||D-ナイトメア|128|800,000|750,000/750,000|BGCOLOR(#c4adff):闇&br;(76↑)||3F|宝箱18(PT)&br;ブランクイリスカード(PT)|バッドドリーム&br;ソリッドオーラ&br;セイントファング|BOSS属性&br;ドラゴンゾンビの取り巻き&br;取り巻きとは別に単独沸きあり&br;出現時に自身にソリッドオーラ&br;アンデッド&br;ヒーリング固有倍率1000％&br;死亡時にゼーレゲリヒト|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/dragonzonbie.jpg,nolink,100x100);|ドラゴンゾンビ|129|8,000,000|3,000,000/3,000,000|BGCOLOR(#c4adff):闇&br;(76↑)||3F|ゴールドメダル(PT)&br;ブランクイリスカード10(PT)&br;ブランクイリスカードR&br;&color(slateblue){背負い魔・ブースト};|咆哮&br;猛毒スタンガス&br;リストリクトリバース&br;メデューサスキン&br;ナイトメア召喚|BOSS属性&br;ノーライフキングの取り巻き&br;出現時にナイトメアを召喚&br;取り巻きの再召喚無し&br;アンデッド&br;ヒーリング固有倍率2000％&br;低DEF&br;死亡時にソウルブレイク|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/nolifeking.jpg,nolink,100x100);|ノーライフキング|129|8,000,000|13,000,000/13,000,000|BGCOLOR(#c4adff):闇&br;(76↑)||3F|ゴールドメダル(PT)&br;タイニーレインボーメダル(PT)&br;ブランクイリスカードSR(PT)&br;&color(slateblue){背負い魔・ブースト};|エッセンガイスト&br;リジェネート&br;ライフスティール&br;メガダークブレイズ&br;ドラゴンゾンビ召喚|BOSS&br;出現時にドラゴンゾンビ召喚&br;アンデッド&br;ヒーリング固有倍率1000％&br;取り巻きの再召喚無し&br;火力が足りないと&br;エッセンガイストで延々と吸われ続け&br;討伐が不可能|


***ディメンションサウスダンジョン [#SouthDungeon]
|~画像|~名前|~LV|~HP|~Exp/Job|~属性|~性格|~出現場所|~ドロップ品|~使用スキル|~その他|h
|CENTER:|LEFT:|CENTER:|RIGHT:|RIGHT:|CENTER:|LEFT:|LEFT:|LEFT:|LEFT:|LEFT|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Andante.jpg,nolink,100x100);|D-アンダンテ|106|56,100|%%59,000/55,000%%&br;64,900/60,500|BGCOLOR(#ffdddd):火|Active|1F|ディメンション翡翠&br;高級マジックポーション&br;高級スタミナポーション|ウォーターライズ&br;スタンポゼション&br;バーニングロード&br;アッシュ|闇ライズ無効|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Zircon3.jpg,nolink,100x100);|D-ジルコンIII|107|58,300|%%63,000/61,000%%&br;69,300/67,100|BGCOLOR(#c4adff):闇|Active|1F|ディメンション翡翠&br;高級マジックポーション|ナッシングネス&br;ソリッドオーラ&br;ヒーリング&br;ディープフォレスト|ライズ有効|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Devastator.jpg,nolink,100x100);|D-デバステイター|107|69,300|%%65,000/63,000%%&br;71,500/69,300|BGCOLOR(#ffdddd):火&br;(50↓)|Active|1F|ディメンション翡翠&br;高級マジックポーション|猛毒針&br;旋風剣&br;ディビリテイト&br;ブランディッシュ||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/SpellCaster.jpg,nolink,100x100);|D-スペルキャスター|108|62,700|%%69,000/66,000%%&br;75,900/72,600|BGCOLOR(#c4adff):闇|Active|1F|ディメンション翡翠&br;マルチコンディション|メデューサスキン&br;ヴァニッシュメント&br;ディバインバリア&br;ダークブレイズ|高M.DEF&br;ライズ有効|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Brocks.jpg,nolink,100x100);|D-ブロックス|110|83,600|%%76,000/72,000%%&br;83,600/79,200|BGCOLOR(#ffdddd):''火''/&br;土|Active|1F&br;2F|ディメンション翡翠&br;最高級ヒールポーション&br;高級スタミナポーション&br;リザレクションポーション&br;ブランクイリスカード|ノクシャスブラスト&br;ファイアシャッター&br;リストリクトリバース&br;サイレントポゼション|火属性50↑&br;土ライズ有効&br;闇ライズ無効|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/BlikKingRX3.jpg,nolink,100x100);|D-ブリキングRX3|111|75,900|%%82,000/84,000%%&br;90,200/92,400|BGCOLOR(#98fb98):土|Active|2F|ディメンション翡翠&br;最高級ヒールポーション&br;リザレクションポーション&br;ブランクイリスカード&br;&color(slateblue){力の結晶};|怒&br;スケア&br;スタンブロウ&br;ファランクス||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/BlikKingCannon.jpg,nolink,100x100);|D-ブリキングキャノン|113|70,400|%%86,000/87,000%%&br;94,600/95,700|BGCOLOR(#ffdddd):火|Active|2F|ディメンション翡翠&br;最高級ヒールポーション&br;リザレクションポーション&br;マルチコンディション&br;ブランクイリスカード&br;&color(slateblue){魔力の結晶};|アッシュ&br;グラヴィティフォール&br;リフレクション&br;スーパーファイアストーム||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/BlikKingCustom.jpg,nolink,100x100);|D-ブリキングカスタム|114|79,200|%%89,000/90,000%%&br;97,900/99,000|BGCOLOR(#98fb98):土|Active|2F|ディメンション翡翠&br;最高級ヒールポーション&br;リザレクションポーション&br;ブランクイリスカード&br;&color(slateblue){クリティカルの結晶};|ハイパーチャージ&br;グランドクロス&br;アイスギャザー&br;猛毒スロウガス||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Lamia.jpg,nolink,100x100);|D-ラーミア|114|75,900|%%86,000/89,000%%&br;94,600/97,900|BGCOLOR(#98fb98):土|Active|2F|ディメンション翡翠&br;最高級ヒールポーション&br;マルチコンディション&br;ブランクイリスカード&br;&color(slateblue){いのちの結晶};|メデューサスキン&br;ロックストーン&br;ララバイ&br;エナジーストーム|高DEF&br;「！」を出さずに襲ってくることがある|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Chimera.jpg,nolink,100x100);|D-キメラ|110|74,800|%%79,000/80,000%%&br;86,900/88,000|BGCOLOR(#ffdddd):火|Active|2F|ディメンション翡翠&br;最高級ヒールポーション&br;リザレクションポーション&br;ブランクイリスカード|バードケージ&br;石化ガス&br;バーンファング&br;ローリングサンダー||
|~|ジャイアントD-キメラ|130|960,000|%%1,250,000/1%%&br;1,375,000/1|BGCOLOR(#ffdddd):火&br;(100)|Active|3F|ディメンション翡翠(PT)&br;ブランクイリスカードSR(PT)&br;リザレクションポーション(PT)&br;濃縮マジスタポーション(PT)|スーパーファイアストーム&br;ラーヴァフロウ&br;咆哮&br;ハウルアウト|出現時にディスペルオーラ使用&br;死亡時に咆哮&br;スタン・沈黙・混乱有効|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/DominionHaitokusha.jpg,nolink,100x100);|D-ドミニオン背徳者|120|102,000|%%160,000/150,000%%&br;176,000/165,000|BGCOLOR(#c4adff):闇&br;(61↑)|Active|2F&br;3F|ディメンション翡翠&br;最高級ヒールポーション&br;最高級ヒールポーション(PT)&br;濃縮マジックポーション&br;濃縮マジックポーション(PT)&br;ブランクイリスカード5(PT)&br;魔力の結晶|ディープフォレスト&br;リフレクションウォール&br;ホーリーライト&br;ダークブレイズ||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/ShiroiTsukaima.jpg,nolink,100x100);|D-白い使い魔|120|98,700|%%157,000/1%%&br;172,700/161,900|BGCOLOR(#ffffff):光|Active|3F|ディメンション翡翠&br;最高級ヒールポーション&br;マルチコンディション(PT)&br;|ウォーターライズ&br;オブセッション&br;グラヴィティフォール&br;スリープポゼション||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Sibyls.jpg,nolink,100x99);|D-シュバリス|126|111,600|%%193,000/1%%&br;212,300/199,000|BGCOLOR(#ffdddd):火|Active|3F|ディメンション翡翠&br;最高級ヒールポーション&br;リザレクションポーション&br;リザレクションポーション(PT)&br;ブランクイリスカード&br;|ノクシャスブラスト&br;石化ガス&br;スーパーサンダーボルト&br;ハウリングスクイーザー||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/NobleArmor.jpg,nolink,100x100);|D-ノーブルアーマー|127|117,600|%%207,000/1%%&br;227,700/213,500|BGCOLOR(#ffffff):光|Active|3F|ディメンション翡翠(PT)&br;濃縮スタミナポーション&br;最高級ヒールポーション&br;最高級ヒールポーション(PT)&br;ブランクイリスカードUC(PT)|デクライズウェポン&br;一閃&br;マーベリック&br;ディバインバリア||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/NecroArmor.jpg,nolink,100x100);|D-ネクロアーマー|128|120,000|%%215,000/1%%&br;236,500/221,700|BGCOLOR(#c4adff):闇|Active|3F|ディメンション翡翠&br;ディメンション翡翠(PT)&br;濃縮マジックポーション&br;最高級ヒールポーション&br;最高級ヒールポーション(PT)&br;&color(slateblue){魔力の結晶};&br;|リストリクトリバース&br;ディビリテイト&br;ナッシングネス&br;連続攻撃||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Houou.jpg,nolink,100x100);|D-ホウオウ|129|126,000?|%%222,000/1%%&br;244,200/228,900|BGCOLOR(#ffdddd):火|Active|3F|ディメンション翡翠(PT)&br;最高級ヒールポーション&br;最高級ヒールポーション(PT)&br;ブランクイリスカード5(PT)&br;濃縮マジスタポーション|バードケージ&br;ボルカニックヘル&br;ファランクス&br;ヴァニッシュメント||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/DominionKouiHaitokusha.jpg,nolink,100x100);|D-ドミニオン高位背徳者|130|115,200|%%230,000/1%%&br;253,000/237,200|BGCOLOR(#ffffff):光|Active|3F|ディメンション翡翠(PT)&br;最高級ヒールポーション&br;最高級ヒールポーション(PT)&br;リザレクションポーション&br;濃縮マジスタポーション(PT)&br;ブランクイリスカード10(PT)|エナジーストーム&br;ソリッドオーラ&br;メガダークブレイズ|BOSS属性|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/Belzebuth_shadow.jpg,nolink,97x101);|ベルゼビュートの分身体|131|5,000,000?|666,666/666,666|BGCOLOR(#c4adff):闇75|Active|3F|ディメンション翡翠&br;リザレクションポーション&br;&color(slateblue){ブランクイリスカード10(PT)};&br;&color(slateblue){ブランクイリスカードSR(PT)};&br;|アブソリュートテリトリー&br;ハウルアウト&br;リストリクトリバース&br;セイントファング&br;エセリアルボディ|ベルゼビュートの取り巻き&br;BOSS属性&br;再召喚時にエセリアルボディ？&br;死亡時にメガダークブレイズ&br;4属性値と光属性値10&br;闇属性値のみ75&br;高M.ATK&br;高DEF&br;超高S.AVOID&br;羽根の色が両方黒い他、本体と表情が違う|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/Belzebuth.JPG,nolink,100x100);|ベルゼビュート|131||18,000,000/18,000,000|BGCOLOR(#ffffff):''光80''/&br;闇80|Active|3F|ゴールドメダル(PT)&br;&color(slateblue){ブランクイリスカードSR(PT)};&br;&color(slateblue){背負い魔・ブースト};|ソウルブレイク&br;レインボー&br;アニマドレイン&br;ゼーレゲリヒト&br;ベルゼビュート召喚|BOSS&br;出現時にベルゼビュート召喚を使用&br;3～5時間湧き?&br;取り巻きが2匹以下で再召喚&br;無属性値10、4属性値10、光と闇が80&br;超高HP&br;高ATK,M.ATK&br;高DEF,M.DEF&br;超高S.AVOID&br;稀に無詠唱ソウルブレイク|

***ディメンションカーマインブリック遺跡 [#CarmineBrick]
※1F中央区画の中央（スチーマーの居る所）からスタート
|~画像|~名前|~LV|~HP|~Exp/Job|~属性|~性格|~出現場所|~ドロップ品|~使用スキル|~その他|h
|CENTER:|LEFT:|CENTER:|RIGHT:|RIGHT:|CENTER:|LEFT:|LEFT:|LEFT:|LEFT:|LEFT|c
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/alto_scaraben.jpg,nolink,100x100);|D-アルトスカラーベン|106|131,000|145,000/76,500|BGCOLOR(#bbffff):水|Active|1F中央&br;1F東居住区&br;1F西居住区|&color(orange){ディメンション砂石};&br;高級スタミナポーション&br;クリティカルの結晶&br;ブランクイリスカード|アクアウェーブ&br;ディビリテイト&br;オブセッション&br;ブラックアート||
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/catoblepas.jpg,nolink,100x100);|D-カトブレパス|110|170,500|165,000/64,000|BGCOLOR(#ffffff):光|Active|1F中央&br;1F東居住区&br;1F西居住区|&color(orange){ディメンション砂石};&br;リザレクションポーション&br;いのちの結晶&br;ブランクイリスカード|ブロウ&br;メデューサスキン&br;石化ガス&br;リフレクションウォール||
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/kabif_roper.jpg,nolink,100x100);|D-カビーフローパー|107|125,480|165,000/76,000|BGCOLOR(#fff68f):風|Active|1F中央&br;1F東居住区&br;1F西居住区|&color(orange){ディメンション砂石};&br;マルチコンディション&br;ブランクイリスカード&br;力の結晶|マジックポイズン&br;ノクシャスブラスト&br;リストリクトリバース&br;ウエポンキャプチャー||
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/sabakutake.jpg,nolink,100x100);|D-サバクタケ|107|107,000|163,350/78,000|BGCOLOR(#bbffff):水|Active|1F中央&br;1F東居住区&br;1F西居住区|&color(orange){ディメンション砂石};&br;高級マジックポーション&br;ブランクイリスカード&br;魔力の結晶|クロスリバー&br;トランスマインド&br;ララバイ||
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/sand_arm.jpg,nolink,100x100);|D-サンドアルム|110|130,000|153,000/88,000|BGCOLOR(#98fb98):土|Active|1F中央&br;1F東居住区&br;1F西居住区|&color(orange){ディメンション砂石};&br;高級スタミナポーション&br;ブランクイリスカード&br;クリティカルの結晶|ロックシュトローム&br;ディレイキャンセル&br;ソリッドオーラ&br;グラヴィティフォール||
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/general_golem.jpg,nolink,100x100);|D-ジェネラルゴーレム|111|243,400|407,000/78,000|無|Active|1F中央&br;1F東居住区&br;1F西居住区|ディメンション砂石&br;高級ヒールポーション&br;ブランクイリスカード&br;いのちの結晶&br;&color(red){ブランクイリスカードUC};&br;&color(red){ロゼッタ・ストーン};|怒&br;ファランクス&br;ハイパーチャージ&br;リフレクション&br;セルフミラー||
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/tonfa_panda.jpg,nolink,100x100);|D-トンファーパンダ|107|200,000|377,000/155,000|無|Active|1F中央&br;1F東居住区&br;1F西居住区|&color(orange){ディメンション砂石};&br;高級ヒールポーション&br;力の結晶&br;ブランクイリスカード|連続攻撃&br;バードケージ&br;デッドリーアタック&br;ダメージチャージ||
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/brugal_smoothy.jpg,nolink,100x100);|D-ブルガルスムージー|113|143,625|216,000/122,000|BGCOLOR(#98fb98):土|Active|1F中央&br;1F東居住区&br;1F西居住区|&color(orange){ディメンション砂石};&br;高級マジックポーション&br;ブランクイリスカード&br;魔力の結晶|ディバインバリア&br;マジックポイズン&br;氷化ガス&br;アースパウダー||
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/armored_armadillo.jpg,nolink,100x100);|D-アーマードアルマジロン|116|166,000|0/178,516|BGCOLOR(#98fb98):土|Active|2F|ディメンション砂石&br;リザレクションポーション&br;ブランクイリスカード&br;&color(red){リザレクションサプリ};&br;&color(red){力の結晶};|ブロウ&br;スタンブロウ&br;衝撃波&br;サイレントグリーン||
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/strong_droider.jpg,nolink,100x100);|D-ストロングドロイダー|120|165,000|0/189,174|BGCOLOR(#c4adff):闇|Active|2F|ディメンション砂石&br;&color(orange){高級マジックポーション};&br;ブランクイリスカード&br;&color(red){魔力の結晶};|怒&br;ブロウ&br;スタンブロウ&br;コンフュージョンブロウ||
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/mercenary_asreha.jpg,nolink,100x100);|D-マーシナリー・アスレハ|115|265,500|0/256,900|BGCOLOR(#c4adff):闇|Active|2F|高級スタミナポーション&br;&color(orange){ディメンション砂石};&br;壊れた白い武器&br;ブランクイリスカード&br;&color(red){濃縮スタミナポーション};|マジックポイズン&br;居合い&br;ブランディッシュ&br;ハチの一刺し||
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/mercenary_hirawa.jpg,nolink,100x100);|D-マーシナリー・ヒラーワ|115|265,500|0/256,900|BGCOLOR(#c4adff):闇|Active|2F|高級マジックポーション&br;&color(orange){ディメンション砂石};&br;壊れた白い武器&br;ブランクイリスカード&br;&color(red){濃縮マジックポーション};|マジックポイズン&br;衝撃波&br;旋風剣&br;ダメージマーキング||
