# Iris/Ability/Table

#author("2017-04-27T15:44:05+00:00","","")
RIGHT:&edit(,noicon){アビリティベクトル表を編集};

***戦闘用・ステータス変化等 [#tb_Battle]
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~|COLOR(#66CC66):ペイロード％上昇|-|''10％''|10％|10％|10％|10％|10％|10%|10%|10%|
|~|COLOR(#66CC66):キャパシティ＋上昇|-|-|''+150''|+150|+150|+150|+150|+150|+150|+150|
|~|COLOR(#66CC66):ペイロード＋上昇|-|-|-|''+150''|+150|+150|+150|+150|+150|+150|
|~|COLOR(#FF6600):DEX＋上昇|-|-|-|-|''+1''|+1|+1|+1|+1|+1|
|~|COLOR(#0088CC):クリティカル％上昇|-|-|-|-|-|''3％''|''7％''|''12％''|''17％''|17%|
|~|COLOR(#FF6600):STR＋上昇|-|-|-|-|-|-|-|-|-|''+1''|
|||||||||||||
|[[ロックオン>Iris/Find/Vector#LockOn]]|&aname(tb_LockOn);COLOR(#FF0000):Lv差命中減少％軽減|''30％''|''70％''|70％|70％|70％|70％|70％|70％|70％|70%|
|~|COLOR(#4444FF):HP最大値％上昇|-|-|''15％''|15％|15％|15％|15％|15％|15％|15%|
|~|COLOR(#FF8800):ATK値＋上昇|-|-|-|''+10''|+10|+10|+10|+10|+10|+10|
|~|COLOR(#CC3300):武器攻撃力＋上昇|-|-|-|-|''+10''|''+20''|+20|+20|+20|+20|
|~|COLOR(#FF6600):STR＋上昇|-|-|-|-|-|-|''+1''|+1|+1|+1|
|~|COLOR(#FF6600):DEX＋上昇|-|-|-|-|-|-|-|-|-|''+1''|
|~|COLOR(#CC3300):武器攻撃力％上昇|-|-|-|-|-|-|-|''15％''|''30％''|30%|
|||||||||||||
|[[マーズの賛助>Iris/Find/Vector#Mars]]|&aname(tb_Mars);COLOR(#FF8800):ATK値＋上昇|''+2''|''+4''|+4|+4|+4|+4|+4|+4|+4|+4|
|~|COLOR(#4444FF):HP最大値＋上昇|-|-|''+300''|+300|+300|+300|''+1000''|+1000|+1000|+1000|
|~|COLOR(#0088CC):クリティカル％上昇|-|-|-|''7%''|7%|7%|7%|7%|''15%''|15%|
|~|COLOR(#FF6600):STR＋上昇|-|-|-|-|''+1''|+1|+1|+1|+1|''+2''|
|~|COLOR(#FF8800):ATK値％上昇|-|-|-|-|-|''10%''|10%|10%|10%|10%|
|~|COLOR(#4444FF):HP最大値％上昇|-|-|-|-|-|-|-|''20％''|20％|20%|
|||||||||||||
|[[インビジブルフォース>Iris/Find/Vector#InvisibleForce]]|&aname(tb_InvisibleForce);COLOR(#FF8800):M.ATK＋上昇|''+5''|+5|+5|+5|+5|+5|+5|+5|+5|+5|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|''+200''|+200|+200|+200|+200|''+1000''|+1000|+1000|+1000|
|~|COLOR(#FF8800):M.ATK％上昇|-|-|''5%''|5%|5%|''10%''|10%|10%|''17%''|17%|
|~|COLOR(#AA00AA):MP回復力％上昇|-|-|-|''10%''|10%|10%|10%|10%|10%|10%|
|~|COLOR(#FF6600):MAG＋上昇|-|-|-|-|''+1''|+1|+1|+1|+1|''+2''|
|~|COLOR(#AA00AA):MP最大値％上昇|-|-|-|-|-|-|-|''20%''|20%|20%|
|||||||||||||
|[[デスパレートアヴォイド>Iris/Find/Vector#DesperateAvoid]]|&aname(tb_DesperateAvoid);COLOR(#FF6600):L.AVOID％上昇 |''2%''|2%|''5%''|5%|5%|5%|5%|5%|5%|''17%''|
|~|COLOR(#FF6600):S.AVOID％上昇 |-|''3%''|3%|''5%''|5%|5%|5%|5%|''15%''|15%|
|~|COLOR(#FF6600):VIT＋上昇|-|-|-|-|''+1''|+1|+1|''+2''|+2|+2|
|~|COLOR(#FF6600):INT＋上昇|-|-|-|-|-|''+2''|+2|+2|+2|+2|
|~|COLOR(#FF6600):AGI＋上昇|-|-|-|-|-|-|''+2''|+2|+2|+2|
|||||||||||||
|[[ヴィーナスの歌声>Iris/Find/Vector#Venus]]|&aname(tb_Venus);COLOR(#0088CC):物理スキル詠唱速度％上昇 |''2%''|2%|2%|2%|2%|2%|2%|2%|2%|2%|
|~|COLOR(#FF6600):M.ATK％上昇|-|''3%''|3%|''5%''|5%|5%|''10%''|10%|10%|''17%''|
|~|COLOR(#0088CC):魔法スキル詠唱速度％減少|-|-|''1%''|1%|1%|1%|1%|1%|1%|1%|
|~|COLOR(#FF6600):MAG＋上昇|-|-|-|-|''+1''|+1|+1|''+2''|+2|+2|
|~|COLOR(#FF6600):DEX＋上昇|-|-|-|-|-|''+1''|+1|+1|''+2''|+2|
|||||||||||||
|[[アドニスの技量>Iris/Find/Vector#Adonis]]|&aname(tb_Adonis);COLOR(#0088CC):魔法スキル詠唱速度％上昇 |''2%''|2%|2%|2%|2%|2%|2%|2%|2%|2%|
|~|COLOR(#FF6600):ATK％上昇|-|''3%''|3%|''5%''|5%|5%|''10%''|10%|10%|''17%''|
|~|COLOR(#0088CC):物理スキル詠唱速度％減少|-|-|''1%''|1%|1%|1%|1%|1%|1%|1%|
|~|COLOR(#FF6600):STR＋上昇|-|-|-|-|''+1''|+1|+1|''+2''|+2|+2|
|~|COLOR(#FF6600):VIT＋上昇|-|-|-|-|-|''+1''|+1|+1|''+2''|+2|
|||||||||||||
|[[フロントライン>Iris/Find/Vector#Front]]|&aname(tb_Front);COLOR(#4444FF):HP最大値％上昇|''10%''|''15%''|15%|15%|''20%''|20%|''25%''|''30%''|30%|30%|
|~|COLOR(#FF8800):DEF＋上昇|-|-|''+10''|''+12''|+12|+12|+12|+12|''+14''|''+16''|
|~|COLOR(#FF6600):VIT＋上昇|-|-|-|-|-|''+2''|+2|+2|+2|+2|
|||||||||||||
|[[トランスセンス>Iris/Find/Vector#Transsense]]|&aname(tb_Transsense);COLOR(#AA00AA):MP最大値％上昇|''10%''|10%|10%|10%|10%|''20%''|20%|20%|20%|20%|
|~|COLOR(#DDA500):SP最大値％上昇|-|''10%''|10%|10%|10%|10%|''20%''|20%|20%|20%|
|~|COLOR(#FF8800):M.DEF＋上昇   |-|-|''+10''|''+12''|+12|+12|+12|''+15''|''+20''|''+25''|
|~|COLOR(#FF6600):INT＋上昇     |-|-|-|-|''+1''|+1|+1|+1|+1|+1|
|||||||||||||
|[[コンバットエンジニア>Iris/Find/Vector#CombatEngineer]]|&aname(tb_CombatEngineer);COLOR(#555555):耐久度減少確率減少|''25%''|25%|25%|''35%''|35%|35%|35%|''45%''|45%|45%|
|~|COLOR(#CC3300):武器攻撃力％上昇  |-|''5%''|5%|5%|5%|''15%''|15%|15%|''25%''|25%|
|~|COLOR(#222288):防具防御力％上昇  |-|-|''7%''|7%|7%|7%|''15%''|15%|15%|''25%''|
|~|COLOR(#FF6600):DEX＋上昇         |-|-|-|-|''+1''|+1|+1|+1|+1|1|
|||||||||||||
|~アビリティベクトル|~リリースアビリティ|~Lv1|~Lv2|~Lv3|~Lv4|~Lv5|~Lv6|~Lv7|~Lv8|~Lv9|~Lv10|
|~|~|BGCOLOR(#DDDDDD):~&size(11){1～};|BGCOLOR(#DDDDDD):~&size(11){30～};|BGCOLOR(#DDDDDD):~&size(11){80～};|BGCOLOR(#DDDDDD):~&size(11){150～};|BGCOLOR(#DDDDDD):~&size(11){250～};|BGCOLOR(#DDDDDD):~&size(11){370～};|BGCOLOR(#DDDDDD):~&size(11){510～};|BGCOLOR(#DDDDDD):~&size(11){660～};|BGCOLOR(#DDDDDD):~&size(11){820～};|BGCOLOR(#DDDDDD):~&size(11){999};|
|[[ダメージコントロール>Iris/Find/Vector#damageControl]]|&aname(tb_damageControl);COLOR(#555555):被物理ダメージ％減少|''5%''|5%|''8%''|8%|''10%''|10%|''12%''|12%|''15%''|15%|
|~|COLOR(#555555):被魔法ダメージ％減少|-|''5%''|5%|''8%''|8%|''10%''|10%|''12%''|12%|''15%''|
|||||||||||||
|[[エクセレントテイスト>Iris/Find/Vector#excellentTaste]]|&aname(tb_excellentTaste);COLOR(#6666CC):食べ物系アイテム効果＋上昇|''100%''|100%|''120%''|120%|''140%''|140%|''160%''|160%|''200%''|200%|
|~|COLOR(#6666CC):ポーション系アイテム効果＋上昇|-|''100%''|100%|''120%''|120%|''140%''|140%|''160%''|160%|''200%''|
|||||||||||||
|[[ピュアテイスト>Iris/Find/Vector#pureTaste]]|&aname(tb_pureTaste);COLOR(#6666CC):食べ物系アイテム効果＋上昇|''40%''|40%|''60%''|60%|''80%''|80%|''100%''|100%|''120%''|120%|
|~|COLOR(#6666CC):ポーション系アイテム効果＋上昇|-|''40%''|40%|''60%''|60%|''80%''|80%|''100%''|100%|''120%''|
|||||||||||||
|[[スタミナリダクション>Iris/Find/Vector#staminareduction]]|&aname(tb_staminareduction);COLOR(#6666CC):ポーション系アイテム効果＋上昇|''50%''|50%|50%|50%|50%|''100%''|100%|100%|''180%''|180%|
|~|COLOR(#DDA500):スキル消費SP軽減|-|''10%''|10%|''20%''|20%|20%|20%|20%|20%|20%|
|~|COLOR(#6666CC):食べ物系アイテム効果＋上昇|-|-|''50%''|50%|50%|50%|''100%''|100%|100%|''180%''|
|~|COLOR(#DDA500):SP最大値％上昇|-|-|-|-|''20%''|20%|20%|''30%''|30%|30%|
|||||||||||||
|[[マジックリダクション>Iris/Find/Vector#magicreduction]]|&aname(tb_magicreduction);COLOR(#6666CC):ポーション系アイテム効果＋上昇|''50%''|50%|50%|50%|50%|''100%''|100%|100%|''180%''|180%|
|~|COLOR(#AA00AA):スキル消費MP軽減|-|''10%''|10%|''20%''|20%|20%|20%|20%|20%|20%|
|~|COLOR(#6666CC):食べ物系アイテム効果＋上昇|-|-|''50%''|50%|50%|50%|''100%''|100%|100%|''180%''|
|~|COLOR(#AA00AA):MP最大値％上昇|-|-|-|-|''20%''|20%|20%|''30%''|30%|30%|
|||||||||||||
|[[HP最大上昇>Iris/Find/Vector#HpMaxUp]]|&aname(tb_HpMaxUp);COLOR(#4444FF):HP最大値＋上昇|''+20''|''+40''|''+80''|''+140''|''+220''|''+320''|''+440''|''+580''|''+740''|''+920''|
|||||||||||||
|[[灰燼の招手>Iris/Find/Vector#kaijin]]|&aname(tb_kaijin);COLOR(#555555):状態異常成功率上昇|''10%''|''20%''|20%|20%|20%|''35%''|''50%''|50%|50%|50%|
|~|COLOR(#FF8800):DEF＋上昇|-|-|''+8''|+8|+8|+8|+8|+8|''+12''|+12|
|~|COLOR(#FF8800):M.DEF＋上昇|-|-|-|''+8''|+8|+8|+8|+8|+8|''+20''|
|~|COLOR(#4444FF):HP最大値％上昇|-|-|-|-|''15%''|15%|15%|''30%''|30%|30%|
|||||||||||||
|[[フェイタルインフェクト>Iris/Find/Vector#fatalinfect]]|&aname(tb_fatalinfect);COLOR(#555555):状態異常成功率上昇|''6%''|''10%''|''14%''|''18%''|''20%''|''24%''|''26%''|''32%''|''38%''|''45%''|
|||||||||||||
|[[イベイジョンステップ>Iris/Find/Vector#evasionstep]]|&aname(tb_evasionstep);COLOR(#FF6600):LV差回避上昇 |''50''|50|50|50|50|50|50|50|''100''|100|
|~|COLOR(#FF6600):AGI＋上昇|-|''+1''|+1|+1|+1|+1|+1|+1|+1|+1|
|~|COLOR(#FF6600):回避成功率上昇|-|-|''5''|''10''|10|10|10|10|10|''15''|
|~|COLOR(#FF6600):S.AVOID％上昇 |-|-|-|-|''5%''|5%|''10%''|10%|10%|10%|
|~|COLOR(#FF6600):L.AVOID％上昇 |-|-|-|-|-|''5%''|5%|''10%''|10%|10%|
|||||||||||||
|[[ナローエスケープ>Iris/Find/Vector#narrowescape]]|&aname(tb_narrowescape);COLOR(#FF6600):LV差回避上昇|''11''|''16''|''21''|''25''|''31''|''34''|''38''|''42''|''45''|''50''|
|||||||||||||
|[[真心の絆>Iris/Find/Vector#tiesofcordiality]]|&aname(tb_tiesofcordiality);COLOR(#4444FF):HP最大値+上昇|''+50''|+50|''+100''|+100|''+150''|+150|+150|+150|+150|+150|
|~|COLOR(#4444FF):HP回復力%上昇|-|''5%''|5%|''10%''|10%|10%|10%|10%|10%|10%|
|~|COLOR(#FF8800):DEF＋上昇|-|-|-|-|-|''+1''|+1|+1|''+5''|+5|
|~|COLOR(#FF8800):M.DEF＋上昇|-|-|-|-|-|-|''+1''|+1|+1|''+5''|
|~|COLOR(#FF6600):VIT＋上昇|-|-|-|-|-||-|''+1''|+1|+1|
|||||||||||||
|~アビリティベクトル|~リリースアビリティ|~Lv1|~Lv2|~Lv3|~Lv4|~Lv5|~Lv6|~Lv7|~Lv8|~Lv9|~Lv10|
|~|~|BGCOLOR(#DDDDDD):~&size(11){1～};|BGCOLOR(#DDDDDD):~&size(11){30～};|BGCOLOR(#DDDDDD):~&size(11){80～};|BGCOLOR(#DDDDDD):~&size(11){150～};|BGCOLOR(#DDDDDD):~&size(11){250～};|BGCOLOR(#DDDDDD):~&size(11){370～};|BGCOLOR(#DDDDDD):~&size(11){510～};|BGCOLOR(#DDDDDD):~&size(11){660～};|BGCOLOR(#DDDDDD):~&size(11){820～};|BGCOLOR(#DDDDDD):~&size(11){999};|
|LEFT:|LEFT:130|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|c
|[[記憶の書架>Iris/Find/Vector#bookshelves]]|&aname(tb_bookshelves);COLOR(#4444FF):HP最大値＋上昇|''+30''|+30|+30|+30|+30|+30|+30|+30|+30|''+850''|
|~|COLOR(#6666CC):食べ物系アイテム効果＋上昇|-|''50%''|50%|50%|50%|50%|50%|50%|50%|50%|
|~|COLOR(#66CC66):ペイロード＋上昇|-|-|''+50''|+50|+50|''+80''|+80|+80|+80|+80|
|~|COLOR(#66CC66):キャパシティ＋上昇|-|-|-|''+50''|+50|+50|''+80''|+80|+80|+80|
|~|COLOR(#6666CC):ポーション系アイテム効果＋上昇|-|-|-|-|''70%''|70%|70%|70%|70%|70%|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|-|-|-|-|-|-|''+350''|+350|+350|
|~|COLOR(#DDA500):SP最大値＋上昇|-|-|-|-|-|-|-|-|''+350''|+350|
|||||||||||||
|[[マリオネットの加護>Iris/Find/Vector#MarionetteKago]]|&aname(tb_MarionetteKago);COLOR(#008800):マリオネット使用時間延長|''+120''|+120|+120|''+180''|+180|+180|+180|+180|+180|+180|
|~|COLOR(#4444FF):HP最大値％上昇|-|''10%''|10%|10%|10%|10%|10%|10%|10%|10%|
|~|COLOR(#4444FF):HP最大値＋上昇|-|-|''+1000''|+1000|+1000|+1000|+1000|+1000|+1000|+1000|
|~|COLOR(#FF8800):DEF＋上昇|-|-|-|-|''+15''|+15|+15|+15|''+25''|+25|
|~|COLOR(#FF8800):M.DEF＋上昇|-|-|-|-|-|''+15''|+15|+15|+15|''+25''|
|~|COLOR(#FF6600):INT＋上昇|-|-|-|-|-|-|''+2''|+2|+2|+2|
|~|COLOR(#FF6600):VIT＋上昇|-|-|-|-|-|-|-|''+2''|+2|+2|
|||||||||||||
|[[マリオネットの守護>Iris/Find/Vector#MarionetteSyugo]]|&aname(tb_MarionetteSyugo);COLOR(#008800):マリオネット再使用時間短縮|''30''|30|30|''60''|60|60|60|60|60|60|
|~|COLOR(#4444FF):HP最大値％上昇|-|''10%''|10%|10%|10%|10%|10%|10%|10%|10%|
|~|COLOR(#4444FF):HP最大値＋上昇|-|-|''+1000''|+1000|+1000|+1000|+1000|+1000|+1000|+1000|
|~|COLOR(#FF8800):DEF＋上昇|-|-|-|-|''+15''|+15|+15|+15|''+25''|+25|
|~|COLOR(#FF8800):M.DEF＋上昇|-|-|-|-|-|''+15''|+15|+15|+15|''+25''|
|~|COLOR(#FF6600):INT＋上昇|-|-|-|-|-|-|''+2''|+2|+2|+2|
|~|COLOR(#FF6600):VIT＋上昇|-|-|-|-|-|-|-|''+2''|+2|+2|
|||||||||||||
|[[憑依の基礎>Iris/Find/Vector#transBasic]]|&aname(tb_transBasic);COLOR(#008800):憑依速度上昇|''1''|''2''|''3''|''4''|''5''|''6''|''7''|''8''|''9''|''10''|
|||||||||||||
|[[憑依の心得>Iris/Find/Vector#HyouiKokoroe]]|&aname(tb_HyouiKokoroe);COLOR(#555555):憑依者貫通率軽減|''10''|10|10|10|''20''|''30''|30|''40''|''50''|50|
|~|COLOR(#008800):憑依速度上昇|-|''5''|''10''|10|10|10|10|10|10|10|
|~|COLOR(#4444FF):HP最大値＋上昇|-|-|-|''+1200''|+1200|+1200|''+1500''|+1500|+1500|+1500|
|~|COLOR(#4444FF):HP最大値％上昇|-|-|-|-|-|-|-|-|-|''50%''|
|||||||||||||
|[[コンビネーションアドバンス>Iris/Find/Vector#combinationAdvance]]|&aname(tb_combinationAdvance);COLOR(#555555):PT参加中被攻撃ダメージ％減少|''1%''|1%|''3%''|3%|3%|3%|''5%''|5%|5%|5%|
|~|COLOR(#CC3300):PT参加中攻撃ダメージ％上昇|-|''2%''|2%|''5%''|5%|5%|5%|5%|5%|''10%''|
|~|COLOR(#FF8800):DEF＋上昇|-|-|-|-|''+15''|+15|+15|+15|''+25''|+25|
|~|COLOR(#FF8800):M.DEF＋上昇|-|-|-|-|-|''+15''|+15|''+25''|+25|+25|
|||||||||||||
|[[仲間との絆>Iris/Find/Vector#tiesOfFriend]]|&aname(tb_tiesOfFriend);COLOR(#555555):PT参加中被攻撃ダメージ％減少|''1%''|1%|''3%''|3%|''5%''|5%|''7%''|7%|''10%''|10%|
|~|COLOR(#CC3300):PT参加中攻撃ダメージ％上昇|-|''1%''|1%|''3%''|3%|''5%''|5%|''8%''|8%|''10%''|
|||||||||||||
|[[マルチプロテクション>Iris/Find/Vector#multiProtection]]|&aname(tb_multiProtection);COLOR(#6666CC):ポーション系アイテム効果＋上昇|''100%''|100%|100%|100%|100%|100%|100%|100%|100%|100%|
|~|COLOR(#FF8800):DEF＋上昇|-|''+10''|+10|+10|+10|+10|+10|+10|+10|+10|
|~|COLOR(#FF8800):M.DEF＋上昇|-|-|''+10''|+10|''+15''|+15|+15|+15|+15|+15|
|~|COLOR(#FF6600):VIT＋上昇|-|-|-|''+1''|+1|+1|+1|+1|+1|+1|
|~|COLOR(#66CC66):ペイロード＋上昇|-|-|-|-|-|''+250''|+250|+250|+250|+250|
|~|COLOR(#66CC66):キャパシティ＋上昇|-|-|-|-|-|-|''+250''|+250|+250|+250|
|~|COLOR(#DDA500):SP最大値％上昇|-|-|-|-|-|-|-|''30%''|30%|30%|
|~|COLOR(#AA00AA):MP最大値％上昇|-|-|-|-|-|-|-|-|''30%''|30%|
|~|COLOR(#4444FF):HP最大値％上昇|-|-|-|-|-|-|-|-|-|''50%''|
|||||||||||||
|~アビリティベクトル|~リリースアビリティ|~Lv1|~Lv2|~Lv3|~Lv4|~Lv5|~Lv6|~Lv7|~Lv8|~Lv9|~Lv10|
|~|~|BGCOLOR(#DDDDDD):~&size(11){1～};|BGCOLOR(#DDDDDD):~&size(11){30～};|BGCOLOR(#DDDDDD):~&size(11){80～};|BGCOLOR(#DDDDDD):~&size(11){150～};|BGCOLOR(#DDDDDD):~&size(11){250～};|BGCOLOR(#DDDDDD):~&size(11){370～};|BGCOLOR(#DDDDDD):~&size(11){510～};|BGCOLOR(#DDDDDD):~&size(11){660～};|BGCOLOR(#DDDDDD):~&size(11){820～};|BGCOLOR(#DDDDDD):~&size(11){999};|
|LEFT:|LEFT:130|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|c
|[[奈落の番人>Iris/Find/Vector#narakuGuard]]|&aname(tb_narakuGuard);COLOR(#555555):奈落で被攻撃ダメージ％減少|''5%''|5%|5%|5%|''15%''|15%|15%|15%|15%|15%|
|~|COLOR(#CC3300):奈落で攻撃ダメージ％上昇|-|''10%''|10%|10%|10%|''20%''|20%|20%|20%|20%|
|~|COLOR(#0080C0):アビス・マター入手量＋上昇|-|-|''+5''|+5|+5|+5|''+10''|+10|+10|+10|
|~|COLOR(#4444FF):HP最大値＋上昇|-|-|-|''+1000''|+1000|+1000|+1000|+1000|+1000|+1000|
|~|COLOR(#4444FF):HP最大値％上昇|-|-|-|-|-|-|-|''25%''|25%|25%|
|~|COLOR(#AA00AA):スキル消費MP％軽減|-|-|-|-|-|-|-|-|''20%''|20%|
|~|COLOR(#DDA500):スキル消費SP％軽減|-|-|-|-|-|-|-|-|-|''20%''|
|||||||||||||
|[[おしゃれの極意>Iris/Find/Vector#stylish]]|&aname(tb_stylish);COLOR(#CC3300):武器攻撃力＋上昇|''+3''|+3|''+8''|+8|''+15''|+15|''+25''|+25|+25|+25|
|~|COLOR(#222288):防具防御力＋上昇|-|''+3''|+3|''+8''|+8|''+15''|+15|''+25''|+25|+25|
|~|COLOR(#CC3300):武器攻撃力％上昇|-|-|-|-|-|-|-|-|''30%''|30%|
|~|COLOR(#222288):防具防御力％上昇|-|-|-|-|-|-|-|-|-|''30%''|
|||||||||||||
|[[アップセット>Iris/Find/Vector#upSet]]|&aname(tb_upSet);COLOR(#555555):対ﾁｬﾝﾌﾟﾀﾞﾒｰｼﾞ減少軽減|''20%''|20%|20%|''50%''|50%|50%|50%|50%|50%|''100%''|
|~|COLOR(#FF8800):M.DEF＋上昇|-|''+10''|+10|+10|''+15''|+15|+15|''+25''|+25|+25|
|~|COLOR(#CC3300):機械系攻撃ダメージ上昇|-|-|''10%''|10%|10%|10%|''30%''|30%|30%|30%|
|~|COLOR(#FF8800):DEF＋上昇|-|-|-|-|-|''+15''|+15|+15|''+25''|+25|
|||||||||||||
|[[ストーリーテリング>Iris/Find/Vector#storyTelling]]|&aname(tb_storyTelling);COLOR(#555555):能力低下無効化率上昇|''10''|10|10|10|''20''|20|20|20|20|20|
|~|COLOR(#008800):憑依者貫通率軽減|-|''10''|10|10|10|10|10|10|10|10|
|~|COLOR(#008800):憑依速度上昇|-|-|''10''|10|10|10|10|10|10|10|
|~|COLOR(#4444FF):HP最大値％上昇|-|-|-|''25''|25|25|25|25|25|''50''|
|~|COLOR(#AA00AA):スキル消費MP軽減|-|-|-|-|-|''15''|15|15|15|15|
|~|COLOR(#DDA500):スキル消費SP軽減|-|-|-|-|-|-|''15''|15|15|15|
|~|COLOR(#AA00AA):MP最大値％上昇|-|-|-|-|-|-|-|''30''|30|30|
|~|COLOR(#DDA500):SP最大値％上昇|-|-|-|-|-|-|-|-|''30''|30|
|||||||||||||
|[[切なる願い>Iris/Find/Vector#dearestWish]]|&aname(tb_dearestWish);COLOR(#6666CC):ポーション系アイテム効果＋上昇|''100''|100|100|100|100|100|100|100|100|100|
|~|COLOR(#555555):死亡時自動復活%|-|''10''|10|''30''|30|30|30|30|30|30|
|~|COLOR(#6666CC):食べ物系アイテム効果＋上昇|-|-|''100''|100|100|100|100|100|100|100|
|~|COLOR(#FF8800):DEF＋上昇|-|-|-|-|''15''|15|15|''25''|25|25|
|~|COLOR(#FF8800):M.DEF＋上昇|-|-|-|-|-|''15''|15|15|''25''|25|
|~|COLOR(#555555):被物理ダメージ％減少|-|-|-|-|-|-|''10''|10|10|10|
|~|COLOR(#555555):被魔法ダメージ％減少|-|-|-|-|-|-|-|-|-|''15''|
|||||||||||||
|[[アナザーブックの栞>Iris/Find/Vector#AnotherBookmark]]|&aname(tb_anotherBookmark);COLOR(#6666CC):AC入場ペナルティ時間短縮|''3''|3|3|3|3|3|3|3|3|3|
|~|COLOR(#AA00AA):ｱﾅｻﾞｰﾌﾞｯｸ再使用時間短縮|-|''3''|3|3|3|3|3|''5''|5|''10''|
|~|COLOR(#008800):獲得ページ経験値上昇|-|-|''3''|3|3|3|3|3|''5''|5|
|~|COLOR(#FF8800):ｱﾅｻﾞｰﾌﾞｯｸ効果時間延長(分)|-|-|-|''1''|1|1|''2''|2|2|2|
|~|COLOR(#555555):被物理ダメージ％減少|-|-|-|-|''10''|10|10|10|10|10|
|~|COLOR(#555555):被魔法ダメージ％減少|-|-|-|-|-|''10''|10|10|10|10|
|||||||||||||
|[[勇者の冒険>Iris/Find/Vector#BraveAdventure]]|&aname(tb_braveAdventure);COLOR(#4444FF):HP最大値＋上昇|''50''|50|50|50|50|50|50|50|50|50|
|~|獲得基本経験値上昇|-|''1''|1|''2''|2|''3''|3|''4''|4|''5''|
|~|COLOR(#555555):PT参加中被攻撃ダメージ％減少|-|-|''2''|2|2|2|2|2|2|2|
|~|COLOR(#CC3300):PT参加中攻撃ダメージ％上昇|-|-|-|-|''5''|5|5|5|5|5|
|~|COLOR(#008800):獲得パートナー信頼度上昇|-|-|-|-|-|-|''15''|15|15|15|
|~|COLOR(#008800):パートナー用獲得経験値上昇|-|-|-|-|-|-|-|-|''30''|30|
|||||||||||||
|[[知恵者の加護>Iris/Find/Vector#ChiesyaKago]]|&aname(tb_chiesyaKago);獲得職業経験値上昇|''3''|3|3|''5''|5|5|5|5|5|5|
|~|ﾃﾞｭｱﾙｼﾞｮﾌﾞ獲得経験値上昇|-|''3''|3|3|''5''|5|5|5|5|5|
|~|COLOR(#222288):防具防御力％上昇|-|-|''20''|20|20|20|20|''35''|35|35|
|~|COLOR(#FF8800):DEF＋上昇|-|-|-|-|-|''20''|20|20|20|20|
|~|COLOR(#FF6600):VIT＋上昇|-|-|-|-|-|-|''1''|1|1|''2''|
|~|COLOR(#555555):PT参加中被攻撃ダメージ％減少|-|-|-|-|-|-|-|-|''5''|5|
|||||||||||||
|[[集う叡智>Iris/Find/Vector#Eichi]]|&aname(tb_eichi);COLOR(#FF69B4):ドロップアイテム追加確率上昇|''3''|3|3|''5''|5|5|5|5|5|5|
|~|COLOR(#FF69B4):レアドロップ率上昇|-|''10''|10|10|''20''|20|20|20|20|20|
|~|COLOR(#CC3300):武器攻撃力％上昇|-|-|''20''|20|20|20|20|''35''|35|35|
|~|COLOR(#FF8800):ATK％上昇|-|-|-|-|-|''10''|10|10|''25''|25|
|~|COLOR(#FF6600):STR＋上昇|-|-|-|-|-|-|''1''|1|1|''2''|

//
//
***一部職業・装備専用 [#tb_Exclusive]
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~アビリティベクトル|~リリースアビリティ|~Lv1|~Lv2|~Lv3|~Lv4|~Lv5|~Lv6|~Lv7|~Lv8|~Lv9|~Lv10|
|~|~|BGCOLOR(#DDDDDD):~&size(11){1～};|BGCOLOR(#DDDDDD):~&size(11){30～};|BGCOLOR(#DDDDDD):~&size(11){80～};|BGCOLOR(#DDDDDD):~&size(11){150～};|BGCOLOR(#DDDDDD):~&size(11){250～};|BGCOLOR(#DDDDDD):~&size(11){370～};|BGCOLOR(#DDDDDD):~&size(11){510～};|BGCOLOR(#DDDDDD):~&size(11){660～};|BGCOLOR(#DDDDDD):~&size(11){820～};|BGCOLOR(#DDDDDD):~&size(11){999};|
|LEFT:|LEFT:130|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|c
|[[アサルトエンハンス>Iris/Find/Vector#AssaultEnhance]]&br;(F系専用)|&aname(tb_AssaultEnhance);COLOR(#FF6600):ATK％上昇|''5%''|''8%''|8%|8%|''12%''|12%|''15%''|''17%''|17%|''20%''|
|~|COLOR(#0088CC):クリティカル％上昇|-|-|''10%''|10%|10%|''15%''|15%|15%|''20%''|20%|
|~|COLOR(#FF6600):ATK値＋上昇|-|-|-|''+25''|+25|+25|+25|+25|+25|+25|
|||||||||||||
