# PetList/Ride

#author("2017-04-07T17:40:56+00:00","","")
#include(Pet/PetMenu,notitle)
*パートナー一覧表 （ライドパートナー） [#y7d2e06b]
#contents

--&color(#0000ff){パラメーターは、06/10/1までに掲示板・コメントで記載されたものを反映しています。&br;仕様変更があったため、育てた時期によっては1～2の差が出ることがあるので参考として下さい。&br;上限に達したかは%%転生の際のパラメーター上昇で判断するといいでしょう。%% 数字の色が緑色になったかで判断できます。};
--パラメーターは、レイアウトの関係で英語表記としています。
---パラメーターの表示順序はゲーム内の説明と同じです。
---初期パラメーターのうち、&color(#a0a0a0){''灰色で表示''};されたものは旧隠しステータスであり、数値が不正確である場合があります。確定したもののみ黒で表示に戻してください。
--07/02/23にパートナーのHP回復アイテムが統合されました。
---「ピュアエナジー」「大人の回復薬」「バードケーキ」「鉱油」「樹液」⇒「ペットフード」に統合。14/07/24に「パートナーフード」に改名・
--07/10/12にペットのステータス調整が実施されました。
--13/06/27に各種隠しステータスの通常表示化、及び、カウントストップ・ステータス値の緑字表示化の仕様変更が行われました。
--13/12/26より飛空庭に設置が可能になりました。設置後右クリックでポーズを変えることができます。
--14/07/24に「ペット」から「パートナー」にカテゴリ名が変更されました。
プレイヤー間では未だペットと呼ぶ人も少なくないが、総じて「パートナー」の事を指す。


//修正値反映完了パートナー：ネコマタ緑、ネコマタ杏、青ドラゴ
//（上昇したパラメーターはとりあえず赤字にしています。パラメーターを更新された方は、上の日付の変更もお願いします。）

**ライドパートナー [#xbf16ef7]

***[[ライドクローラー>#RC]] [#q42355cd]
|CENTER:128|CENTER:120|CENTER:90|CENTER:80|CENTER:70|CENTER:390|c
|~画像|~固有命令スキル&br;習得可能職業|~初期&br;パラメーター|~成長&br;(転生前)((黒は限界値が確定していると思われるパラメーター、灰色はまだ限界値が確定していないと思われるパラメーターです。))|~説明と入手法|h
|&ref(http://eco.acronia.net/img/gamedb_wiki/PetList/Ride/SoraTobuKoumoriGasaSiro.jpg,nolink,124x148);|なし|HP:1&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:40&br;L.AVOID:40&br;M.RST:40&br;CRITICAL:30&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:－};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:－};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|&color(#ff8000){最大ごきげん度：100};&br;&br;&br;【入手法】&br;ＥＣＯ祭り2010で配布された|

***たんぽぽの綿毛 [#a57e9e0a]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_wiki/PetList/Ride/watage.JPG,nolink,128x137);|なし|HP:1&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:40&br;L.AVOID:40&br;M.RST:40&br;CRITICAL:30&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:150};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:120};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|+1&br;+196&br;+129&br;+111&br;+54&br;+129&br;+48&br;+39&br;+90&br;+90&br;+90&br;+63&br;&br;&color(#a0a0a0){+49};&br;&color(#a0a0a0){+196};&br;&color(#a0a0a0){+200};&br;+120&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|妖精気分が味わえる&br;巨大なたんぽぽの綿毛&br;&br;【入手法】&br;ECOくじ「さんぽ日和」|

***人力車（金のインスマウス） [#d0425ecb]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/Jinrikisha.jpg,nolink,128x128);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:－};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:－};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|+540&br;+196&br;+129&br;+111&br;+54&br;+129&br;+48&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|金のインスマウスが引く「人力車」&br;&br;&br;【入手法】&br;ネットカフェキャンペーン第3弾　特賞(30名限定)&br;宝箱15(期間限定)|

***風船ブランコ [#fb1335ee]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/FuusenBuranko.jpg,nolink,128x128);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:30&br;L.HIT:25&br;M.HIT:20&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:30&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:－};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:120};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|+540&br;+196&br;+129&br;+111&br;+54&br;+110&br;+70&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|いくつもの風船が支えてくれる華やかなブランコ。&br;&br;&color(#ff8000){最大ごきげん度：100};&br;&br;&br;【入手法】&br;ECOくじ Ver.8&br;ECOくじ☆新春ベスト&br;&br;フィールドでのファイアードラゴと等速|

***コウモリブランコ [#r98fd2eb]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_wiki/PetList/Shoulder/Koumori.png,nolink,128x126);&ref(http://eco.acronia.net/img/gamedb_wiki/PetList/Shoulder/koumori2.png,nolink,128x120);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:30&br;L.HIT:25&br;M.HIT:20&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:30&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:－};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:120};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|+540&br;+196&br;+129&br;+111&br;+54&br;+110&br;+70&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;+120&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|【入手法】&br;ECOクジ「アニバゴージャス」&br;パートナー引き換え券（びっくりBOX：2013/04/25～2013/5/23）&br;&br;&color(#ff8000){最大ごきげん度：100};&br;&br;&br;|

***スリーピーカー [#ud07e5d9]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/SleepyCar.jpg,nolink,128x128);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:30&br;L.HIT:25&br;M.HIT:20&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:30&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:－};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:120};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|+540&br;+196&br;+129&br;+111&br;+54&br;+110&br;+70&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+120};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|スリーピーの運転する真っ赤な車。&br;&br;【スキル】&br;「クラクション」を使うことができる。&br;&br;【入手法】&br;「EMIL CHRONICLE ONLINE ORIGINAL SOUNDTRACK Vol.2」特典|

***インス神輿 [#jf4ecbfb]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/InnsMikoshi.jpg,nolink,128x170);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:－};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:120};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|インスマウス達がかついでくれるお神輿。ある意味神々しい。&br;&br;【入手法】&br;ECO公認ネットカフェ夏祭り2007　特賞(50名限定)|

***インス神輿(金) [#k12e1120]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/MikoshiKinNoInnsmouth.jpg,nolink,128x127);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:－};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:－};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|+540&br;+196&br;+129&br;+111&br;+54&br;+129&br;+48&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|金のインスマウス達がかついでくれるお神輿。輝く姿に神々しさ倍増。&br;&br;【入手法】&br;ネットカフェ専用クエスト報酬(宝箱１５)|

***インス神輿(黒) [#InsuMikosiBlack]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_wiki/PetList/Ride/MikoshiKuroNoInnsmouth.jpg,nolink,128x128);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:－};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:－};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|インス達が担いでくれるお神輿に乗って優雅に移動しよう！&br;&br;【入手法】&br;宝箱１５|

***インス神輿(レインボー) [#InsuMikosiRainbow]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_wiki/PetList/Ride/MikoshiRainbowNoInnsmouth.jpg,nolink,128x128);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:－};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:－};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|インス達が担いでくれるお神輿に乗って優雅に移動しよう！&br;&br;【入手法】&br;宝箱１５|

***インスライダー [#me2de8a4]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/InnsRider.jpg,nolink,128x128);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:－};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:120};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|+540&br;+196&br;+129&br;+111&br;+54&br;+129&br;+48&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|マリオネット大運動会、短距離走部門で優勝した&br;インスマウスにのって、世界中を駆け巡ろう！&br;&br;&br;【入手法】&br;ECO公認ネットカフェ　アイテムゲットキャンペーン～第5弾～　特賞(100名限定)|

***インスライダー（黒） [#InsuRiderBlack]
|CENTER:128|CENTER:100|RIGHT:100|RIGHT:60|LEFT:370|c
|&ref(http://eco.acronia.net/img/gamedb_wiki/PetList/Ride/InnsRiderBlack.png,nolink,128x128);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:－};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:－};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|マリオネット大運動会、短距離走部門で優勝した&br;インスマウスにのって、世界中を駆け巡ろう！&br;&br;【入手法】&br;宝箱１５|

***ゴールドライダー [#v6708333]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/GoldRider.jpg,nolink,128x128);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;C.AVOID:4&br;A.SPD:150&br;C.SPD:120&br;RCV:120&br;M.RCV:1&br;S.RCV:0|+540&br;+196&br;+129&br;+111&br;+54&br;+129&br;+48&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;&color(#a0a0a0){+0};&br;+200&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|【入手法】&br;ネットカフェ専用クエスト報酬の宝箱15|

***救急わんわん [#nb3cfb33]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/KyuukyuuWanWan.jpg,nolink,125x128);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:－};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:120};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|+540&br;+196&br;+129&br;+111&br;+54&br;+129&br;+48&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|レスキュー犬として厳しい訓練を積んだセントバーナード&br;&br;&br;【入手法】&br;スペシャルBOX2&br;（お得に冒険！　30DAYSパック　Ver.3　同梱）|

***ゴロ付スーツケース [#l65fba41]
|CENTER:128|CENTERbr;:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/GoroTsukiSuitcase.jpg,nolink,128x128);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;CAPA: +30&br;PAYL: +30&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:150};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:120};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|+540&br;+196&br;+129&br;+111&br;+54&br;+129&br;+48&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+200};&br;&color(#a0a0a0){+200};&br;&color(#a0a0a0){+120};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|カワイイ妖精付きの騎乗パートナー&br;360度回転の自動キャスター付&br;高性能スーツケース&br;約４万７７ｋｍまで走行可能&br;&br;【入手法】&br;ガンホーゲームズ『パチンコ・パチスロ』景品&br;宝箱15(期間限定)|

***パンダ [#ad9a6a5a]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/Panda.jpg,nolink,128x128);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:－};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:－};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|+540&br;+196&br;+129&br;+111&br;+54&br;+129&br;+48&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|愛らしいパンダ&br;ハイハイしてあるく&br;&br;【入手法】&br;スペシャルBOX2&br;（お得に冒険！　30DAYSパック　Ver.4　同梱）|

*** 波乗りサーフボード[#surfboard]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/NaminoriSurfBoard.jpg,nolink,128x128);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;C.AVOID:4&br;A.SPD:150&br;C.SPD:130&br;RCV:120&br;M.RCV:1&br;S.RCV:0;|+1200&br;+196&br;+129&br;+111&br;+54&br;+129&br;+48&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;+16&br;+200&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+120};&br;+12&br;&color(#a0a0a0){+0};|PARTNER装備&br;陸の上でもサーフィンができる？！&br;真夏の太陽に相応しいサーフボード&br;（早い話がリ○ボード）&br;&br;【入手法】&br;ECOくじ Ver.15|

*** 波乗りサーフボード☆[#surfboardStar]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_wiki/PetList/Ride/surfboardStar.jpg,nolink,128x128);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:－};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:－};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|PARTNER装備&br;陸の上でもサーフィンができる？！&br;真夏の太陽に相応しいサーフボード&br;（説明文は無印と同じ）&br;&br;【入手法】&br;「復刻・ECOくじ第15弾エンジョイ夏休み☆」&br;&br;重量10.0 容量10.0　　新密度30|
　

***超絶合体エレキテル [#v464272d]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_wiki/PetList/Shoulder/erekiteru_01.jpg,nolink,128x128);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:－};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:120};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|+1200&br;+196&br;+129&br;+111&br;+54&br;+129&br;+48&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;+120&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|ECOi「超絶合体エレキテル」の登場メカ。黄金のカラーリングがなんとも眩しい！&br;&br;【入手法】&br;ECOくじDX|

***暁の白鰐丸 [#dda24cf7]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_wiki/PetList/Shoulder/eco_003.jpg,nolink,128x128);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:－};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:120};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|+1200&br;+196&br;+129&br;+111&br;+54&br;+129&br;+48&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|PARTNER装備&br;伝説の空飛ぶ戦艦&br;&br;【入手法】&br;ドラマCD「エミる☆みらくる」Vol.１～３&br;Vol.１～３に同梱されている「魔法のコンパス部品」３種類と交換で入手。(ドラマCDVol.3参照)&br;[[伝説の宝箱>Quest/Northern#densetu]]|

***召喚獣・銀狼 [#iac8b30d]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
